Rank,Days_on_Mars,SiO2,FeO,Al2O3,SO3,CaO,MgO,Na2O,TiO2,P2O5,K2O,Cl,Cr2O3,MnO
220,999,62.99,6.62,7.71,5.47,3.78,4.32,2.96,1.55,2.39,0.97,0.8,0.08,0.09
221,1028,53.26,10.85,6.7,10.53,5.36,6.21,2.39,1.09,1.11,0.5,1.11,0.5,0.11
222,1028,52.73,9.81,6.18,12.56,6.57,5.86,2.16,0.92,1.05,0.43,1,0.38,0.1
223,1028,53.13,10.71,6.53,11.05,5.55,6.16,2.34,1.09,1.19,0.5,1.03,0.46,0.12
224,1032,58.78,7.71,6.88,9.18,5.95,4.14,2.46,1.13,1.65,0.44,0.94,0.45,0.09
225,1041,72.56,2.68,5.01,6.62,2.71,3.26,2.12,1.48,1.41,1.3,0.58,0.03,0.04
226,1057,62.51,4.96,6.84,8.77,4.9,4.88,2.36,1.48,1.22,0.8,0.88,0.1,0.12
227,1057,68.09,4.4,6.09,7.21,3.87,3.45,2.15,1.51,1.32,0.82,0.71,0.1,0.08
228,1059,71.47,3.77,5.36,7.68,4.81,0.46,1.97,1.7,1.37,0.8,0.29,0.06,0.07
229,1061,55.4,7,7.97,8.75,5.65,7.38,2.67,1.44,1.17,0.81,1.2,0.14,0.16
230,1064,72.5,4.42,4.75,7.55,2.42,1.93,1.87,1.65,1.29,1,0.34,0.05,0.06
231,1065,74.43,4.94,5.45,4.85,2.99,0.72,2.01,1.66,1.29,0.99,0.28,0.08,0.08
232,1082,45.65,18.47,10.44,2.62,7.08,7.8,3.43,0.85,0.78,1.36,0.52,0.5,0.41
233,1089,68.07,9.87,6.06,4.6,3.35,1.53,2.1,1.43,1.17,0.86,0.35,0.2,0.17
234,1091,61.04,8.6,6.07,6.51,3.74,4.47,2.57,1.29,2.51,0.55,2.01,0.23,0.09
235,1092,73.65,5.49,5.66,4.8,3.05,0.82,2.08,1.57,1.25,0.96,0.29,0.1,0.09
236,1092,43.87,18.82,9.31,5.63,6.49,8.84,2.63,0.94,0.95,0.45,1.08,0.47,0.42
237,1092,62.07,5.65,4.11,11.04,5.23,4.17,2.2,1.48,2.28,0.42,0.98,0.1,0.04
238,1097,43.39,17.83,11.32,5.66,5.98,8.17,2.78,0.96,0.88,0.48,1.56,0.48,0.35
239,1102,43.57,19.87,8.86,5.08,5.86,8.42,3.25,0.89,0.74,0.93,1.52,0.39,0.53
240,1105,47.14,18.51,8.93,5.99,5.65,6.38,2.6,1.06,1.21,0.79,0.68,0.32,0.41
241,1109,53.1,16.57,6.14,8.15,4.57,5.07,2.1,1.12,1.03,0.73,0.84,0.28,0.08
242,1110,66.83,6.08,3.45,9.55,3.4,3.56,1.75,1.31,1.93,0.84,0.81,0.2,0.07
243,1114,43.96,18.44,9.38,5.93,6.36,8.82,2.68,0.96,0.87,0.43,1.18,0.42,0.39
244,1114,43.4,17.36,9.71,6.88,6.87,8.52,2.79,0.93,0.94,0.47,1.27,0.42,0.36
245,1116,42.14,19.5,12.41,3.42,6.79,8.23,3.23,0.92,0.8,0.51,1.21,0.38,0.4
246,1123,41.7,19.14,11.3,5.57,7.42,8.05,3,0.9,0.73,0.49,0.79,0.45,0.39
247,1124,43.66,18.51,9.57,6,6.53,8.54,2.71,0.92,0.89,0.42,1.36,0.4,0.39
248,1126,45.19,17.22,12.18,4.61,6.77,6.88,3.15,0.95,0.84,0.5,0.84,0.4,0.34
249,1130,56.23,9.43,5.48,10.78,5.98,4.77,2.53,1,1.24,0.44,1.54,0.34,0.09
250,1132,42.95,21.55,11.52,3.35,6.12,7.49,3.08,1,0.72,0.46,0.73,0.51,0.4
251,1134,63.59,7.96,1.27,13.1,6.58,0.99,1.96,1.14,1.84,0.23,0.82,0.31,0.05
252,1142,59.15,10.39,2.86,13.07,7.1,1.47,2.15,0.91,1.56,0.29,0.54,0.28,0.07
253,1143,58.76,7.04,5.42,10.72,5.74,5.6,2.4,1.14,1.09,0.41,1.11,0.32,0.09
254,1143,53.88,12.44,3.98,13.38,8.29,2.11,2.33,0.95,1.34,0.3,0.49,0.33,0.1
255,1150,44.49,19.76,8.84,3.96,6.15,9.54,2.73,0.87,0.78,0.29,1.65,0.43,0.44
256,1150,44.45,20.52,8.7,3.89,6.13,9.25,2.58,0.89,0.72,0.32,1.59,0.43,0.44
257,1151,44.61,19.36,8.79,4.9,5.51,10.12,2.56,0.87,0.76,0.31,1.33,0.41,0.43
258,1157,50.7,17.42,9.26,6.28,4.81,4.94,2.55,1.02,0.53,0.98,0.72,0.3,0.22
259,1157,52.45,17.28,9.23,5.46,4.45,4.55,2.53,1.03,0.48,1.05,0.71,0.31,0.22
260,1166,51.24,17.17,9.31,4.92,4.02,5.62,2.71,1.06,0.74,0.93,1.38,0.3,0.33
261,1182,44.48,20.61,8.46,3.61,6.81,9.85,2.55,0.96,0.86,0.39,0.64,0.3,0.38
262,1182,45.69,18.83,9.83,3.19,7.29,8.98,2.74,0.89,0.77,0.43,0.51,0.43,0.41
263,1184,44.56,20.76,8.49,3.28,7.04,9.97,2.27,0.9,0.76,0.35,0.51,0.53,0.4
264,1184,48.11,16.02,10.87,4.07,6.55,7.46,3.22,0.82,1,0.56,0.72,0.2,0.34
265,1191,44.7,16.19,9.05,10.35,5.04,7.48,2.44,0.92,1.23,0.67,1.03,0.27,0.21
266,1191,46.29,16.27,9.45,7.41,5.57,7.69,2.64,1.03,1.14,0.6,1.12,0.3,0.27
267,1202,52.89,14.71,4.34,11.76,7.66,2.37,2.54,1.05,1.22,0.33,0.45,0.44,0.15
268,1202,53.24,15.25,3.92,11.92,7.8,1.81,2.43,1,1.15,0.3,0.46,0.45,0.14
269,1202,48.15,17.5,10.01,2.82,7.2,8.36,2.67,0.84,0.75,0.48,0.5,0.32,0.37
270,1225,45.74,19.97,9.16,2.87,7.13,9.32,2.35,0.84,0.73,0.39,0.49,0.47,0.39
271,1226,47.88,17.91,9.78,3.36,7.3,7.57,2.75,0.88,0.79,0.49,0.5,0.39,0.37
272,1231,45.85,20.08,8.46,2.29,6.55,11.46,2.43,0.71,0.7,0.35,0.4,0.3,0.42
273,1241,45.53,20.02,8.33,2.57,7,11.24,2.27,0.75,0.75,0.38,0.44,0.28,0.38
274,1242,46.24,19.82,7.88,2.92,6.68,11.5,1.72,0.68,0.78,0.4,0.5,0.24,0.43
275,1242,45.42,20.3,8.15,2.57,6.88,11.71,1.87,0.74,0.72,0.37,0.44,0.32,0.36
276,1245,48.88,19.17,8.77,6.36,4.19,5.53,2.43,0.92,0.9,1.15,0.8,0.25,0.25
277,1245,46.48,17.58,8.48,9.71,5.9,5.11,2.42,0.95,0.76,1.09,0.81,0.27,0.17
278,1251,46.64,16.96,8.5,9.9,4.86,5.99,2.23,0.93,0.97,1.04,1.24,0.28,0.15
279,1253,48.31,16.92,10.21,3.18,7.27,7.79,2.73,0.81,0.82,0.51,0.55,0.38,0.34
280,1253,49.2,18.15,8.99,6.34,4.22,5.93,2.55,1.04,0.75,0.92,1.08,0.29,0.18
281,1253,46.13,20.46,7.98,3.3,6.19,10.31,2.29,0.78,0.74,0.44,0.62,0.3,0.35
282,1259,46.74,17.53,8.49,8.58,4.45,6.8,2.5,0.94,0.99,0.95,1.18,0.24,0.27
283,1259,48.52,17.33,9.07,7.47,4.53,6.08,2.61,0.99,0.83,0.85,0.82,0.3,0.28
284,1266,50.29,18.3,9.02,4.68,4.35,5.94,2.58,1,0.83,1.08,1.02,0.28,0.26
285,1273,51.7,16.94,9.36,5.21,4.41,5.13,2.59,1.04,0.66,1.22,0.96,0.29,0.26
286,1273,48.6,18.04,9.71,5.24,5.21,5.7,2.56,0.94,1.09,1.03,1,0.26,0.16
287,1273,50.71,16.56,10.38,4.09,4.85,5.78,2.69,1.05,1.03,1.12,0.88,0.35,0.12
288,1275,14.89,4.21,3.57,40.32,29.39,3.99,1.59,0.22,0.78,0.13,0.6,0.12,0.1
289,1275,52.19,18.17,9.59,4.1,3.94,5.03,2.55,1.05,0.85,1.06,0.56,0.32,0.3
290,1277,41.63,19.65,9,6.91,7.19,8.77,2.71,0.94,0.83,0.51,0.91,0.42,0.36
291,1277,43.04,19.32,8.55,6.64,6.72,8.68,2.62,1.01,0.94,0.48,0.97,0.49,0.38
292,1278,41.63,17.98,8.58,8.86,7.07,9.2,2.58,0.88,0.88,0.46,0.95,0.4,0.35
293,1278,40.08,16.59,7.97,11.72,6.81,10.21,2.54,0.85,0.85,0.42,1.08,0.38,0.35
294,1278,39.76,16.47,7.97,12.07,6.78,10.34,2.48,0.81,0.86,0.41,1.15,0.36,0.35
295,1278,39.27,16.46,7.7,12.73,6.75,10.43,2.48,0.83,0.86,0.43,1.16,0.4,0.35
296,1279,40.98,19.19,9.15,7.5,7.24,8.83,2.77,0.93,0.94,0.54,0.97,0.33,0.39
297,1279,41.54,19.71,8.98,6.92,7.15,8.68,2.74,0.98,0.94,0.49,0.97,0.32,0.4
298,1280,40.83,19.43,8.88,7.86,7.21,8.84,2.66,0.96,0.95,0.49,0.99,0.32,0.39
299,1287,31.58,11.54,5.96,23.2,15.89,6.15,2.3,0.58,0.78,0.3,1.07,0.21,0.27
300,1288,43.67,18.56,10.48,4.73,5.92,9.53,2.56,0.87,0.8,0.38,1.51,0.46,0.4
301,1294,41.96,19.75,8.18,7.17,6.33,9.8,2.63,0.88,0.89,0.35,1.11,0.39,0.4
302,1300,58.04,5.72,5.55,11.15,6.97,5.4,2.48,1.16,0.99,0.47,1.38,0.43,0.12
303,1300,45.03,15.52,8.93,8.62,7.52,7.18,2.99,0.88,0.84,0.48,1.21,0.43,0.27
304,1313,50.12,15.36,8.7,5.94,5.73,6.1,3,0.95,1.01,0.57,1.84,0.38,0.2
305,1313,66.61,5.68,4.21,7.84,3.85,4.44,2.16,1.34,1.7,0.33,1.23,0.4,0.07
306,1314,49.03,14.57,8.85,6.58,6.56,6.23,3.04,0.93,0.91,0.49,2.08,0.38,0.26
307,1318,57.99,5.83,5.6,11.32,6.97,5.15,2.07,1.02,0.9,0.46,1.71,0.42,0.05
308,1318,54.58,6.9,5.95,11.9,7.54,5.22,2.63,1.01,1.18,0.47,1.9,0.41,0.12
309,1318,54.86,9.82,5.78,11.2,6.57,3.9,2.67,0.91,1.06,0.43,2.15,0.34,0.1
310,1319,63.51,5.06,4.41,9.52,4.88,3.91,2.39,1.13,1.53,0.5,2.62,0.35,0.09
311,1319,63.1,5.1,4.35,9.62,5.01,3.96,2.49,1.12,1.5,0.49,2.68,0.37,0.08
312,1325,63.58,4.31,2.12,15.07,8.58,1.06,1.59,1.07,1.49,0.29,0.31,0.34,0.06
313,1326,59.75,8.22,3.09,13.69,8.22,1.55,1.92,1.11,1.33,0.31,0.32,0.29,0.09
314,1327,48.62,16.79,6.95,8.03,6.3,6.28,2.57,1.02,0.98,0.44,1.07,0.48,0.34
315,1327,44.6,16.21,8.1,9.47,6.84,7.7,2.67,0.96,0.93,0.47,1.21,0.42,0.3
316,1327,45.76,17.39,8.02,7.83,6.37,7.45,2.67,1,0.94,0.44,1.25,0.45,0.32
317,1330,43.49,19.72,9.03,5.04,6.35,9.14,2.83,0.93,0.91,0.4,1.24,0.37,0.4
318,1330,42.84,20.33,9.03,5.28,6.4,9.07,2.8,0.87,0.92,0.41,1.16,0.38,0.38
319,1337,44.67,22.13,9.49,0.65,6.54,9.96,2.92,0.95,0.78,0.33,0.63,0.38,0.41
320,1339,47.31,19.04,10.62,1.04,6.63,8.6,3.21,0.92,0.72,0.43,0.61,0.33,0.38
321,1341,44.1,18.39,9.43,5.59,6.57,8.49,2.99,0.91,0.98,0.45,1.25,0.34,0.37
322,1341,43.44,19.04,11.78,3.94,4.98,9.23,2.64,0.81,0.87,0.41,1.9,0.49,0.32
323,1348,44.68,14.8,13.29,5.2,6.34,7.68,2.95,0.86,0.86,0.42,1.94,0.51,0.29
324,1348,43.79,19.84,8.75,4.96,6.84,8.74,2.79,0.96,0.95,0.36,1.1,0.35,0.39
325,1351,43.61,19.55,8.86,5.39,6.69,8.85,2.73,0.97,0.87,0.42,1.09,0.4,0.38
326,1352,50.1,15.42,7.47,7.07,5.34,5.33,2.99,0.93,1.85,0.51,2.36,0.35,0.18
327,1355,44.77,19.19,8.69,7.37,5.36,7.28,2.42,1.06,0.9,0.81,1.3,0.3,0.28
328,1355,51.96,17.74,10.1,4.22,3.78,5.25,2.71,1.03,0.57,1.02,0.82,0.3,0.24
329,1358,53.01,16.03,9.72,4.79,4.2,5.76,2.6,1.05,0.53,0.91,0.57,0.35,0.23
330,1358,52.95,16.17,9.65,4.76,4.34,5.71,2.5,1.07,0.53,0.87,0.57,0.34,0.23
331,1359,45.1,22.39,9.64,0.96,6.36,8.97,3.08,0.94,0.75,0.37,0.5,0.41,0.39
332,1364,52.87,19.17,9.37,3.54,4.03,4.84,2.52,1.09,0.5,0.85,0.35,0.34,0.28
333,1366,52.45,15.77,9.59,5.48,4.62,5.57,2.6,1.05,0.59,0.86,0.57,0.33,0.26
334,1368,51.82,18.74,9.4,4.36,4.55,4.9,2.59,1.05,0.52,0.87,0.35,0.32,0.22
335,1375,43.4,17.21,9.04,9.71,4.53,7.66,2.85,0.93,1.07,0.76,2.16,0.27,0.19
336,1376,43.71,17.31,8.88,9.47,4.48,7.58,2.84,0.94,1.07,0.76,2.17,0.26,0.18
337,1380,45.3,16.06,8.78,9.01,5.79,8.35,2.45,0.86,0.64,0.73,1.14,0.3,0.21
338,1380,47.64,16.5,9.15,6.8,4.59,8.65,2.35,1,0.61,0.79,1.09,0.29,0.25
339,1386,44.26,18.27,9.23,7.89,5.4,7.35,2.65,0.91,0.98,0.67,1.44,0.31,0.14
340,1403,48.09,18.42,9.24,6.43,4.09,6.1,2.51,1.04,1.06,0.77,1.54,0.31,0.12
341,1405,45.82,19.22,8.94,7.97,4.49,5.51,2.25,1.27,1.02,1.17,1.39,0.45,0.2
342,1407,54.08,14.37,9.22,4.3,3.83,4.55,3.92,0.86,0.71,2.61,1.02,0.08,0.22
343,1409,47.22,17.22,10.42,3.22,6.55,7.27,3.2,1.22,1.18,0.61,1.11,0.28,0.35
344,1409,46.18,17.56,10.38,3.23,7.04,7.72,3.14,1.05,1.09,0.49,1.31,0.26,0.39
345,1409,42.34,15.12,9.35,9.5,9.18,7.09,3,0.9,1.03,0.51,1.3,0.26,0.29
346,1409,47.99,16.14,9.5,4.22,6.83,7.26,3.21,0.97,1.23,0.62,1.33,0.25,0.33
347,1409,59.25,12.69,9.34,2.87,2.96,2.64,4.52,0.82,0.57,3.17,0.71,0.03,0.21
348,1416,46.17,19.84,8.7,7.48,4.56,6.06,2.45,1.01,0.8,0.82,1.37,0.32,0.12
349,1417,47.85,19.37,9.03,6.73,3.85,5.03,2.57,1.04,0.75,0.96,2.14,0.3,0.09
350,1418,45.89,19.68,8.2,8.32,4.76,5.55,2.15,1.05,1.21,0.88,1.54,0.28,0.09
351,1418,45.17,19.04,8.08,9.4,5.38,5.52,2.16,0.97,1.36,0.81,1.45,0.27,0.08
352,1419,48.65,20.25,9,5.58,5.07,5.08,2.59,1.04,0.61,0.81,0.56,0.32,0.16
353,1426,45.99,22.53,8.49,6.78,5.27,4.58,2.11,1.07,1.05,0.83,0.48,0.33,0.09
354,1436,46.14,18.92,8.87,8.46,4.43,5.63,2.37,1.02,0.89,0.8,1.59,0.32,0.18
355,1444,44.37,18.5,8.13,10.97,6.58,5.22,2.02,1,0.98,0.76,0.83,0.28,0.13
356,1444,48.61,21.12,8.76,4.85,3.93,5.72,2.18,1.09,1.12,0.79,1.02,0.32,0.15
357,1457,47.12,19.16,8.68,7.28,5.51,5.3,2.32,1.04,1.12,0.72,1,0.29,0.18
358,1457,48.48,19.33,8.85,5.9,4.97,4.91,2.51,1.07,1.14,0.77,1.25,0.3,0.22
359,1459,45.71,20.66,8.57,7.72,6.01,4.63,2.26,1.08,0.85,0.79,0.92,0.33,0.19
360,1466,44.81,18.93,8.48,9.3,7.48,4.1,2.19,1.05,1.1,0.77,1.01,0.29,0.22
361,1474,46.8,16.24,8.47,10.36,3.47,7.49,2.13,0.9,0.86,0.72,1.56,0.33,0.15
362,1474,46.35,16.24,8.47,10.45,3.73,7.51,2.15,1.03,0.88,0.73,1.63,0.3,0.17
363,1477,40.5,24.4,8.83,5.4,3.67,6.94,2.67,1.02,2.21,0.62,2.7,0.38,0.2
364,1477,40.14,22.01,9.33,7.12,4.52,7.47,2.89,1.05,1.73,0.49,2.29,0.35,0.22
365,1480,45.88,17.81,9.02,8.14,6.05,6.74,2.41,0.99,0.66,0.74,0.8,0.37,0.19
366,1484,35.79,26.81,7.24,12.12,4.69,6.3,2.26,0.77,1.02,0.97,1.43,0.24,0.13
367,1484,44.91,15.03,9.13,9.91,6.64,6.3,2.62,1.12,1.01,0.59,1.92,0.33,0.16
368,1491,42.62,15.98,7.86,12.83,8.61,5.24,2.4,0.96,0.65,0.65,1.45,0.29,0.15
369,1491,44.59,16.82,8.3,10.86,7.46,5.22,2.38,1.02,0.64,0.7,1.3,0.31,0.15
370,1493,45.3,18.98,8.65,7.63,6.51,5.53,2.53,1.07,0.93,0.71,1.33,0.33,0.23
371,1494,46.48,19.32,9.34,4.76,6.56,6.66,2.58,0.96,0.9,0.6,0.93,0.38,0.34
372,1494,46,19.13,8.98,6.12,6.2,6.07,2.62,0.97,0.93,0.63,1.34,0.44,0.28
373,1494,46.89,18.3,9.54,5.16,6.61,6.39,2.68,0.97,0.91,0.67,1.01,0.37,0.31
374,1496,46.17,18.3,8.68,9.13,7.13,4.25,2.01,1.1,0.61,0.83,1.06,0.3,0.16
375,1497,44.99,15.95,8.28,11.25,7.87,5.12,2.26,1.01,0.62,0.76,1.14,0.32,0.18
376,1504,49.95,17.32,9,5.8,4.43,6.09,2.48,1.12,0.93,0.77,1.32,0.34,0.15
377,1504,44.43,19.36,8.15,11.39,3.55,5.2,2.31,0.93,0.68,1.92,1.43,0.27,0.13
378,1511,51.04,21.52,8.95,3.07,2.74,4.93,2.38,1.1,1.04,1.14,1.17,0.35,0.14
379,1512,50.03,21.29,8.43,5.29,3.7,4.31,2.04,1.14,0.82,1.11,0.98,0.33,0.13
380,1518,45.41,19.49,9.7,3.04,7.17,8.86,2.69,0.93,0.81,0.46,0.5,0.42,0.39
381,1518,45.54,19.03,9.66,2.97,7.39,9.11,2.61,0.91,0.79,0.48,0.49,0.49,0.41
382,1523,32.36,12.91,6.48,22.48,13.87,5.36,2.06,0.76,1.24,0.36,1.63,0.19,0.16
383,1524,35.64,24.45,7.38,12.61,6.07,6.24,2.29,0.88,0.95,1.17,1.61,0.26,0.18
384,1525,51.21,18.89,9.12,5.49,2.75,5.04,2.35,1.11,0.9,0.95,1.41,0.39,0.12
385,1531,53.06,21.91,9.86,2.49,2.21,3.62,2.2,1.11,1.17,0.84,0.83,0.39,0.08
386,1531,53.49,22.14,9.94,2.16,2.08,3.45,2.18,1.11,1.15,0.83,0.76,0.4,0.08
387,1533,43.74,18.59,8.3,10.58,7.54,4.76,2.26,1.01,0.67,0.72,1.05,0.35,0.19
388,1537,11.94,4.43,2.57,44.13,31.87,2.4,1.2,0.12,0.51,0.07,0.58,0.11,0.03
389,1552,45.18,15.93,7.87,13.05,7.39,3.99,2.18,0.96,1,0.98,0.79,0.31,0.09
390,1552,52.91,18.67,9.52,4.16,2.99,4.62,2.37,1.16,0.93,0.95,0.99,0.41,0.1
391,1566,46.44,19.66,9.13,5.85,3.36,6.08,2.86,1.06,1.03,0.68,2.97,0.3,0.16
392,1566,44.8,21.39,9.13,6.29,3.75,5.96,2.62,1.01,1,0.83,2.38,0.32,0.18
393,1567,47.45,18.86,9.86,5.3,3.21,6.32,2.77,1.08,1.03,0.75,2.46,0.4,0.17
394,1569,44.47,21.5,8.77,6.45,3.42,5.94,2.72,1.06,1.33,0.81,2.66,0.31,0.16
395,1569,44.34,19.05,9.14,7.43,4.27,6.34,2.95,0.98,0.99,0.84,2.68,0.41,0.19
396,1570,34.04,24.83,7.54,13.34,3.95,5.86,3.22,0.75,0.87,2.29,2.51,0.33,0.2
397,1571,42.91,22.37,8.49,7.94,3.58,6.26,2.55,0.95,1.19,0.82,2.12,0.27,0.17
398,1572,48.03,22.01,8.93,5.24,2.44,5.64,2.27,1.06,1.38,0.88,1.41,0.3,0.13
399,1576,46.31,19.64,8.41,9.04,2.53,7.07,2.34,1.01,0.75,0.97,1.17,0.3,0.16
400,1577,50.03,22.41,8.9,3.26,2.8,5.04,2.33,1.07,0.97,0.99,1.06,0.35,0.16
401,1581,32.78,21.26,6.49,15.35,9.17,5.69,2.02,0.69,4.22,0.54,1.13,0.24,0.22
402,1581,46.72,20.83,8.46,6.16,3.65,6.61,2.29,1.06,1.14,0.88,1.37,0.32,0.19
403,1584,48.64,20.48,8.66,4.55,3.32,6.18,2.36,1.14,0.92,0.88,1.97,0.32,0.17
404,1586,47.52,21.15,8.42,5.32,3.62,5.97,2.46,1.09,1.07,0.82,1.59,0.33,0.18
405,1586,49.1,19.61,8.69,6.46,2.42,6.5,2.25,1.09,0.83,0.94,1.29,0.32,0.16
406,1589,45.5,20.91,8.25,6.79,4.07,6.11,2.44,1.04,1.1,0.74,2.16,0.26,0.23
407,1589,47.49,20.66,8.44,4.99,3.2,6.06,2.69,1.06,1.04,0.86,2.56,0.3,0.2
408,1591,49.88,22.18,8.97,3.67,2.91,5.35,2.32,1.06,0.95,0.84,0.95,0.33,0.16
409,1591,47.33,21.46,8.41,6.6,4.15,5,2.24,1.15,0.9,0.8,1.14,0.34,0.15
410,1593,46.69,20.83,8.4,6.12,3.42,5.68,2.67,1.04,0.86,0.86,2.46,0.32,0.18
411,1593,47.72,20.38,8.75,5.46,3.36,5.97,2.59,1.1,0.81,0.84,2.13,0.31,0.19
412,1596,49.35,20.89,9.34,4.09,2.6,5.88,2.44,1.11,0.98,0.96,1.41,0.36,0.16
413,1598,48.06,21.68,9,3.73,3.28,5.33,2.92,1.04,1.27,1,1.65,0.39,0.2
414,1600,46.24,20.15,8.31,6.64,4.32,5.71,2.55,1.05,1.46,0.82,1.9,0.3,0.19
415,1600,44.97,20.43,8.71,3.06,6.11,8.15,2.92,1.04,0.85,2.01,0.69,0.4,0.41
416,1602,44.26,20.73,9.09,3.1,7.35,9.28,2.32,1.06,0.74,0.39,0.47,0.64,0.44
417,1602,44.09,20.46,9.1,2.96,7.25,9.76,2.53,1.02,0.77,0.41,0.45,0.66,0.44
418,1603,43.93,21.11,8.57,2.61,6.94,10.97,2.44,0.88,0.74,0.37,0.44,0.45,0.43
419,1606,47.96,19.87,8.74,5.47,3.42,7.27,2.33,1.07,0.87,0.78,1.36,0.34,0.17
420,1606,42.24,19.7,10.02,4.73,9.89,7.81,2.31,0.76,0.74,0.16,0.74,0.38,0.44
421,1609,46.11,19.43,9.08,2.63,6.44,9.36,2.61,0.88,0.77,0.29,1.32,0.5,0.37
422,1609,49.73,20.59,8.86,3.7,3.1,6.25,2.31,1.12,1.28,0.86,1.35,0.32,0.15
423,1614,43.25,18.46,7.97,10.96,7.15,5.22,2.19,1.01,1.22,0.82,1.05,0.27,0.17
424,1614,43.06,18.32,7.88,11.27,6.89,5.27,2.44,1.02,0.95,0.86,1.36,0.28,0.13
425,1614,43.71,18.99,7.98,10.69,6.16,5.54,2.16,1,1.04,0.9,1.11,0.3,0.15
426,1614,42.59,17.95,8.18,10.93,8,5.8,2.25,0.93,1.03,0.72,0.86,0.34,0.2
427,1618,43.35,21.52,8.67,3.02,7.18,9.73,2.41,1.13,0.75,0.39,0.49,0.79,0.45
428,1618,43.97,20.82,8.91,2.99,7.28,9.75,2.43,1.02,0.77,0.39,0.47,0.63,0.45
429,1630,51.35,22.07,9,3.14,2.64,4.71,2.24,1.2,0.93,0.98,0.75,0.35,0.17
430,1632,42.27,25.6,7.91,5.52,3.58,5.77,2.51,1.01,1.94,0.7,2.15,0.27,0.39
431,1634,47.42,22.56,8.44,4.82,2.76,6.09,2.36,0.97,1.05,0.77,1.79,0.28,0.2
432,1634,46.43,20.96,8.26,6.9,3.75,6.01,2.31,1.04,0.95,0.79,1.8,0.28,0.18
433,1634,45.37,20.32,8.32,7.41,4.53,6.15,2.4,1.02,1.07,0.74,1.8,0.31,0.21
434,1637,43.49,21.3,8.85,3.09,7.11,9.71,2.53,1.08,0.75,0.38,0.46,0.71,0.43
435,1637,42.43,22.79,7.63,2.58,6.64,12.27,2.18,0.96,0.69,0.31,0.41,0.51,0.47
