Rank,Days_on_Mars,SiO2,FeO,Al2O3,SO3,CaO,MgO,Na2O,TiO2,P2O5,K2O,Cl,Cr2O3,MnO
436,1638,35.78,15.92,6.65,17.02,11.27,5.55,2.24,0.84,1.98,0.53,1.39,0.28,0.29
437,1638,44.8,19.68,9.57,2.97,7.33,9.42,2.65,0.88,0.76,0.43,0.48,0.49,0.42
438,1640,51.09,19.16,9.39,4.28,2.76,6.4,2.41,1.12,0.71,0.8,1.08,0.32,0.16
439,1641,50.41,19.41,9.08,4.85,2.73,6.4,2.22,1.03,0.71,0.8,1.3,0.34,0.14
440,1644,48.75,21.2,8.62,4.49,2.92,6.45,2.39,1.05,0.97,0.83,1.46,0.33,0.18
441,1647,26.87,14.9,5.13,26.45,16.36,4.22,2.22,0.59,0.84,0.36,1.55,0.19,0.16
442,1650,44.45,20.21,9.26,2.82,7.24,9.93,2.53,0.91,0.73,0.4,0.45,0.52,0.42
443,1659,43.38,21.45,8.89,3.12,7.03,9.72,2.42,1.05,0.77,0.38,0.47,0.73,0.47
444,1661,39.43,33.11,7.29,5.23,2.79,5.97,2.05,0.87,1,0.54,0.94,0.21,0.28
445,1661,48.85,21.05,8.92,4.68,2.82,6.34,2.41,1.03,1.17,0.78,1.01,0.3,0.33
446,1662,50.64,20.45,9.13,3.22,2.85,6.02,2.49,1.14,1.06,0.85,1.22,0.37,0.24
447,1668,33.07,38.14,6.79,4.15,3.13,6.95,2.63,0.82,1.1,0.47,1.8,0.26,0.39
448,1668,44.37,24.14,7.89,4.67,2.4,7.93,2.31,0.91,1.8,0.68,1.53,0.28,0.49
449,1668,49.03,20.4,8.95,5.17,2.81,5.94,2.59,1.11,0.98,0.8,1.3,0.32,0.25
450,1671,42.08,17.33,7.75,13.31,7.68,4.96,2.1,1.04,1.13,0.69,0.84,0.35,0.23
451,1677,45.95,19.68,8.24,7.39,2.8,7.23,2.5,1.04,0.97,0.78,2.34,0.32,0.26
452,1679,43.02,17.98,7.98,9.77,4.33,7.07,2.32,0.89,2.97,0.6,1.36,0.26,1.21
453,1681,40.71,16.17,7.97,13.48,5.68,7.7,2.44,0.89,1.58,0.71,1.57,0.27,0.49
454,1681,40.4,16.17,7.87,13.87,6.84,6.94,2.19,0.85,2.02,0.63,0.92,0.28,0.75
455,1681,41.45,17.19,8.1,12.29,5.09,7.55,2.33,0.99,1.95,0.7,1.14,0.29,0.69
456,1681,42.14,16.28,8.3,12.42,5.24,7.79,2.34,1.12,1.57,0.6,1.02,0.31,0.58
457,1681,43.61,19.43,7.91,11.09,6.47,4.89,2.09,1.05,0.96,0.69,0.99,0.27,0.23
458,1685,29.67,9.65,6.41,26.11,17.58,4.96,2.2,0.67,0.59,0.42,0.99,0.21,0.2
459,1686,40.27,31.02,7.1,4.22,3.03,5.81,2.14,0.71,0.79,0.43,1.51,0.13,2.27
460,1687,42.98,20.32,8.62,5.52,7.18,8.8,2.53,1.04,0.95,0.49,0.69,0.33,0.37
461,1687,43.29,18.91,9.5,5.24,7.49,8.65,2.73,1.01,1,0.55,0.72,0.36,0.39
462,1688,45.33,17.53,9.91,4.98,7.22,8.16,2.84,0.94,0.99,0.56,0.72,0.3,0.36
463,1688,45.16,18.63,9.93,3.75,7.59,8.3,2.75,0.98,0.81,0.48,0.57,0.52,0.41
464,1692,42.37,26.8,8.31,4.55,3.12,6.33,2.36,1.01,1.25,0.66,2.11,0.28,0.35
465,1692,41.17,25.17,8.22,6.12,3.57,7.22,2.41,0.94,0.98,0.65,2.1,0.25,0.77
466,1695,42.58,20.58,8.3,7.57,4.81,7.74,2.44,1.01,1.27,0.64,2.06,0.24,0.36
467,1695,42.69,23.41,7.9,6.19,3.81,7.44,2.31,1.04,1.08,0.67,2.27,0.27,0.47
468,1698,40.36,17.96,7.5,12.86,8.22,6.05,2.03,0.95,1.07,0.64,1.31,0.3,0.26
469,1700,42.27,18.31,8.03,11.03,5.13,7.88,2.15,1.02,1.08,0.68,0.99,0.3,0.68
470,1702,20.79,7.59,3.83,35.54,24.2,3.08,1.63,0.36,0.76,0.32,1.32,0.16,0.14
471,1702,19.37,7.35,3.6,36.93,25.56,3.18,1.4,0.25,0.72,0.27,0.95,0.11,0.1
472,1702,25.98,9.28,4.86,28.63,19.48,5.72,1.84,0.55,1.08,0.44,1.55,0.17,0.23
473,1710,34.78,17.45,6.69,17.45,10.6,6.14,2.16,0.81,1.17,0.52,1.41,0.18,0.41
474,1710,33.63,16.96,6.54,17.93,10.87,5.96,2.21,0.82,1.81,0.54,1.72,0.2,0.56
475,1714,34.64,23.49,7.67,10.46,6.73,7.1,2.35,0.86,3.2,0.51,1.69,0.16,0.76
476,1714,37.82,21.28,8.16,10.63,7.02,6.97,2.47,0.84,1.47,0.48,1.76,0.17,0.6
477,1715,47.99,20.37,8.84,5.41,3.56,6.73,2.33,1.14,1.05,0.75,0.83,0.34,0.29
478,1715,47.94,20.14,8.97,5.48,3.52,6.81,2.4,1.14,1.05,0.71,0.81,0.31,0.31
479,1716,35.4,20.25,7.55,12.23,8.47,6.23,2.33,0.92,3.32,0.54,1.41,0.21,0.82
480,1719,46.8,20.19,8.43,6.68,3.08,7.63,2.25,1.04,1.06,0.79,1.13,0.31,0.21
481,1721,46.86,21,8.38,5.26,3.78,7.04,2.28,1.09,1.29,0.75,1.13,0.33,0.28
482,1725,12.01,2.37,2.72,43.63,33.05,3.31,1.41,0.05,0.52,0.07,0.63,0.06,0.05
483,1725,45.09,20.16,8.39,7.92,4.53,6.7,2.25,1.1,1.18,0.71,1,0.3,0.3
484,1725,45.48,21.23,8.47,6.18,3.7,7.31,2.39,1.11,1.17,0.74,1.16,0.32,0.31
485,1727,32.72,19.84,6.86,8.76,3.09,8.89,3.35,0.77,7.56,0.51,3.1,0.2,3.99
486,1729,21,6.44,4.28,34.59,23.98,4.81,1.85,0.36,0.82,0.33,1.2,0.11,0.1
487,1729,45.89,22.02,8.55,5.73,3.54,6.89,2.35,1.05,1.11,0.84,0.9,0.34,0.33
488,1732,37.47,15.33,6.72,18.29,11.55,4.59,2.07,0.79,0.86,0.67,0.82,0.33,0.17
489,1734,23.36,7.96,4.61,32.08,22.6,4.19,1.92,0.42,0.79,0.37,1.34,0.13,0.08
490,1736,46.59,21.98,8.69,4.83,3.61,6.93,2.33,1.07,1.03,0.78,1.15,0.33,0.3
491,1736,49.84,23.09,8.82,2.94,2.59,5.2,2.01,1.17,1.14,1.01,1.12,0.33,0.3
492,1739,24.35,7.7,4.82,31.71,22.27,4.14,1.82,0.45,0.83,0.41,1.14,0.13,0.08
493,1744,43.32,21.69,8.19,6.86,3.05,6.98,2.78,1.01,1.04,0.91,3.07,0.28,0.35
494,1744,48.74,22.79,8.63,3.11,2.77,5.73,2.3,1.16,1.11,1.01,1.49,0.35,0.35
495,1747,29.68,14.82,5.91,24.2,14.93,4.37,2.09,0.68,0.88,0.65,1.16,0.18,0.12
496,1748,29.78,11.31,6.09,25.32,17.11,4.91,2.01,0.7,0.86,0.58,0.84,0.2,0.12
497,1749,44.12,20.31,9.03,3.34,7.32,9.55,2.52,0.97,0.8,0.42,0.51,0.53,0.44
498,1750,41.59,22.54,8.15,3.63,7.31,10.48,2.42,1.09,0.9,0.41,0.54,0.3,0.43
499,1753,46.74,22.28,8.44,5.08,3.68,6.42,2.38,1.01,1.02,0.88,0.97,0.3,0.2
500,1781,48.33,22.74,8.67,3.36,3.6,5.79,2.4,1.18,1.09,0.94,0.79,0.3,0.33
501,1782,25.84,9.38,4.91,30.2,21.12,4.05,1.69,0.46,0.68,0.4,0.82,0.17,0.09
502,1783,23.38,7.16,4.65,32.62,23.51,4.22,1.76,0.35,0.78,0.34,0.87,0.12,0.07
503,1784,47.99,21.25,8.76,5.39,3.48,6.15,2.29,1.1,0.99,0.93,0.8,0.33,0.22
504,1786,46.87,21.06,8.76,5.42,4.24,6.13,2.46,1.03,1.21,0.93,0.83,0.34,0.23
505,1788,46.37,20.69,8.63,6.01,3.77,6.53,2.64,1.09,1.04,0.97,1.34,0.32,0.22
506,1790,42.42,21.92,8.34,2.96,6.99,11.49,2.35,0.92,0.76,0.39,0.45,0.41,0.44
507,1793,46.68,17.62,10.01,3.43,6.82,8.77,2.82,0.93,1,0.54,0.63,0.24,0.36
508,1795,47.04,21.89,8.6,5.73,3.21,6.16,2.35,1.09,1.11,0.97,0.94,0.34,0.24
509,1796,38.44,16.85,7.63,14.8,9.74,6.05,2.26,0.91,1.09,0.62,0.95,0.28,0.17
510,1797,24.86,10.27,4.86,29.33,20.76,4.27,1.95,0.48,0.9,0.47,1.39,0.14,0.11
511,1797,22.88,8.92,4.57,31.73,22.29,4.24,1.92,0.43,0.86,0.42,1.34,0.14,0.11
512,1800,37.34,15.57,7.56,15.92,10.12,5.87,2.71,0.81,0.9,0.72,1.77,0.27,0.17
513,1802,47.99,20.45,8.93,5.57,3.81,6.27,2.29,1.17,1.03,0.86,0.78,0.33,0.16
514,1805,41.93,22.77,8.78,4.01,5.65,8.89,2.45,0.93,2.02,0.55,0.9,0.37,0.46
515,1806,43.12,15.58,7.83,13.6,7.83,5.3,1.98,0.96,1.51,0.79,0.79,0.26,0.17
516,1809,47.64,20.69,9.17,5.04,3.77,6.54,2.44,1.08,0.95,0.8,0.86,0.42,0.16
517,1811,51.79,22.52,9.52,2.78,2.28,4.18,2.13,1.16,0.99,0.91,0.88,0.34,0.12
518,1811,50.48,21.33,9.59,3.8,2.73,5.04,2.31,1.12,0.97,0.9,0.93,0.32,0.1
519,1814,47,20.98,8.79,5.25,3.73,5.94,2.59,1.14,0.85,0.79,2.1,0.32,0.12
520,1816,50.06,22.08,9.57,3.78,2.46,4.69,2.44,1.09,0.98,0.81,1.33,0.32,0.09
521,1818,45.27,20.83,8.65,6.08,4.45,6.68,2.69,1.08,0.84,0.75,1.93,0.33,0.13
522,1818,47.06,20.55,9.05,6.04,3.76,4.27,3.08,1.07,0.82,0.86,2.64,0.32,0.11
523,1818,49.63,21.5,9.3,4,2.68,4.63,2.65,1.14,0.91,0.9,1.96,0.32,0.07
524,1821,46.27,20.14,8.66,6.66,4.38,5.99,2.54,1.04,0.96,0.81,1.77,0.3,0.13
525,1821,47.19,18.78,9.01,6.59,4.4,4.83,2.75,1.07,0.86,0.98,2.78,0.31,0.12
526,1824,45.41,19.08,8.69,7.47,5.57,6.53,2.49,1.02,0.93,0.78,1.1,0.3,0.3
527,1824,46.65,18.03,8.96,8.46,5.19,5.69,2.37,1.05,0.93,0.96,0.88,0.3,0.25
528,1829,45.92,19.89,8.78,6.83,4.9,6.73,2.53,1.16,0.89,0.69,0.85,0.36,0.23
529,1830,42.09,21.96,8.01,8.23,5.45,6.48,2.77,1.05,1,0.62,1.69,0.33,0.09
530,1834,46.64,18.6,8.84,7.13,4.62,5.64,2.88,1.04,0.89,0.96,2.01,0.27,0.23
531,1836,45.34,20.92,8.64,6.65,3.93,5.47,2.63,1.04,1.14,1.09,2.31,0.3,0.26
532,1836,47.27,20,9.18,6.42,4.01,5.48,2.44,1.03,1.21,1.02,1.1,0.29,0.26
533,1838,47.89,19.55,8.88,6.2,4.57,5.79,2.3,1.09,0.89,1.01,0.92,0.34,0.25
534,1838,46.38,18.27,9,7.44,5.09,6.28,2.53,1.09,0.83,0.93,1.15,0.32,0.37
535,1845,44.9,19.96,8.85,6.38,4.59,6.83,2.72,1.06,0.96,0.87,1.88,0.33,0.34
536,1853,49.79,20.59,9.3,4.57,3.26,5.46,2.42,1.07,0.89,1.06,0.73,0.3,0.3
537,1863,45.87,22.41,9,5.45,3.89,6.15,2.4,0.95,1.03,0.88,1.04,0.33,0.21
538,1863,48.36,19.32,9,6.6,4.33,5.39,2.38,1.06,0.85,1.04,0.82,0.3,0.3
539,1865,44.35,18.31,9.15,7.76,6.92,6.8,2.6,1,0.86,0.75,0.64,0.36,0.3
540,1865,44.47,18.27,8.68,9.21,6.06,6.01,2.38,0.97,0.9,0.94,1.05,0.32,0.27
541,1865,43.5,18.56,8.74,9.6,6.86,6.17,2.34,0.93,0.81,0.87,0.78,0.31,0.2
542,1865,46.59,20.42,9.13,5.72,4.02,6.79,2.55,1.1,1,0.89,0.94,0.32,0.26
543,1868,44.63,19.54,8.7,7.39,5.75,6.65,2.54,1.06,0.94,0.91,0.87,0.33,0.39
544,1870,41.81,24.37,7.83,5.66,4.66,6.34,2.56,0.92,1.34,0.85,2.72,0.3,0.37
545,1870,45,17.18,8.49,9.21,6.09,5.68,2.82,1,0.8,0.94,1.84,0.3,0.38
546,1875,46.16,20.27,9.15,5.68,4.28,5.79,2.7,1.15,0.73,1.16,2.04,0.32,0.31
547,1875,46.04,19.87,8.75,7.89,4.71,5.54,2.38,1.05,0.94,1.02,0.84,0.3,0.41
548,1879,49.47,17.21,9.41,6.67,4.22,5.25,2.59,1,0.85,1.04,1.56,0.28,0.26
549,1879,49.33,17.94,9.29,6.18,3.28,5.56,2.87,1,0.85,1.15,1.76,0.28,0.26
550,1885,50.05,17.48,9.36,6.23,3.73,5.61,2.49,1.01,0.84,1.09,1.23,0.29,0.32
551,1885,50.37,16.57,9.98,5.85,3.59,5.58,2.74,0.98,0.9,1,1.69,0.28,0.24
552,1889,44.95,16.24,8.92,10.72,6.5,5.15,2.48,0.92,0.98,0.94,1.4,0.25,0.15
553,1892,52.28,15.52,10.21,5.75,3.47,5.35,2.72,1,0.72,1.17,1.23,0.29,0.09
554,1893,50.01,16.85,9.93,5.74,3.7,5.53,2.86,1.04,0.81,1.17,1.72,0.3,0.1
555,1895,47.82,20.52,8.94,5.62,2.99,5.75,2.47,1.03,0.83,1.17,1.88,0.29,0.38
556,1897,48.64,17.04,9.59,6.86,4.47,5.57,2.58,1.07,0.73,1.04,1.67,0.3,0.19
557,1897,51.52,16.79,10.13,5.3,3.33,5.19,2.78,1.04,0.77,0.95,1.49,0.29,0.16
558,1897,43.11,20.33,9.39,3.85,7.38,9.36,2.59,1.01,0.81,0.44,0.58,0.56,0.45
559,1902,44.75,19.76,9.47,3.29,7.29,9.16,2.42,0.88,0.81,0.49,0.5,0.57,0.41
560,1902,43.72,19.88,9.63,3.5,7.45,9.44,2.62,0.93,0.79,0.45,0.54,0.5,0.43
561,1904,49.4,16.78,9.73,7.16,4.4,5.42,2.84,0.91,0.78,0.79,1.17,0.29,0.1
562,1904,52.54,15.91,10.11,5.66,3.6,5.11,2.62,0.94,0.77,0.8,1.24,0.32,0.09
563,1906,48.85,15.98,9.52,8.44,4.38,5.23,2.67,1.02,0.61,1.08,1.5,0.32,0.14
564,1907,49.26,15.51,9.55,7.9,4.65,5.37,2.63,1,0.7,1.02,1.71,0.28,0.15
565,1911,48.93,16.8,9.46,7.61,4.76,5.46,2.63,0.89,0.8,0.98,0.99,0.28,0.11
566,1921,51.32,16.43,10.19,4.38,3.54,6.63,2.74,0.99,1.16,0.8,1.2,0.3,0.13
567,1921,51.52,17.64,9.68,4.74,2.94,5.92,2.68,0.86,1.05,1,1.22,0.32,0.13
568,1921,47.67,22.22,9.47,3.49,3.84,6.7,2.55,0.89,1.01,0.6,0.95,0.28,0.14
569,1921,51.09,18.44,9.67,4.85,2.63,6.26,2.6,0.79,0.96,0.86,1.25,0.28,0.08
570,1921,53.36,15.87,9.88,4.39,2.65,6.17,2.57,0.85,1.24,0.9,1.26,0.35,0.1
571,1922,50.44,15.9,9.87,6.81,4.39,5.45,2.68,0.9,0.73,0.83,1.29,0.31,0.11
572,1925,48,16.52,9.41,7.6,5.36,6.07,2.51,0.96,0.82,0.86,1.12,0.3,0.17
573,1927,50.47,15.71,9.86,6.47,3.8,6.44,2.54,1,0.75,1,1.17,0.28,0.2
574,1929,54.26,16.43,10.64,3.12,3.03,5.41,2.8,1.01,0.65,1.07,0.85,0.32,0.16
575,1931,51.72,14.25,9.92,7.91,4.54,4.03,2.58,1,0.89,0.94,1.57,0.3,0.11
576,1932,52.34,10.17,10.48,7.22,4.21,6.57,3.26,1.09,1.07,0.97,1.68,0.36,0.21
577,1934,47.64,19.59,9.35,6.89,3.9,5.41,2.61,0.91,0.7,0.85,1.52,0.25,0.07
578,1934,50.78,14.12,9.65,9.02,4.98,4.06,2.46,0.96,0.74,0.95,1.62,0.31,0.1
579,1937,43.22,12.62,8.34,16.31,9.04,3.98,2.23,0.81,0.79,0.71,1.38,0.29,0.08
580,1937,35.73,11.43,6.97,23.27,12.91,4.09,2,0.65,0.73,0.53,1.06,0.2,0.1
581,1937,35.4,11.02,7.43,22.61,13.09,4.27,2.18,0.8,0.89,0.59,1.17,0.3,0.08
582,1937,37.03,12.2,7.16,21.08,12.3,4.39,2.07,0.79,0.72,0.56,1.08,0.28,0.13
583,1938,47.65,16.9,9.2,8.13,4.47,6.08,2.67,0.92,0.99,0.86,1.42,0.27,0.1
584,1940,48.34,17.88,9.67,5.37,4.22,7.17,2.44,1,0.93,0.69,1.17,0.35,0.33
585,1940,48.88,17.03,9.45,6.04,4.29,7.1,2.44,1,0.9,0.74,1.15,0.33,0.35
586,1940,50.55,15.76,10.25,5.26,4.22,6.16,2.56,1.16,0.81,1.02,1.44,0.35,0.12
587,1943,49.11,17.3,9.38,6.48,4.37,6.49,2.41,0.95,0.62,0.75,1.29,0.29,0.27
588,1945,50.46,17.17,9.9,5.88,4.4,4.91,2.49,1.06,0.84,0.83,1.33,0.34,0.11
589,1947,49.51,18.23,9.62,5.28,3.99,5.98,2.62,1.1,0.72,0.72,1.55,0.33,0.1
590,1947,48.72,19.16,9.62,5.54,3.55,5.81,2.56,1.1,0.8,0.79,1.67,0.33,0.09
591,1950,48.61,9.13,8.92,15.44,7.74,3.81,2.04,1,1.02,0.58,0.9,0.36,0.11
592,1954,48.26,17.81,9.23,6.95,4.41,5.73,2.62,1,0.73,0.98,1.59,0.31,0.1
593,1954,48.74,17.92,9.27,6.4,4.29,5.55,2.65,1.06,0.73,0.99,1.71,0.3,0.12
594,1959,47.59,18.51,9.44,6.8,4.24,5.59,2.5,1.15,0.75,1.05,1.71,0.3,0.12
595,1963,46.99,15.73,9.15,9.94,5.67,4.87,2.71,0.84,1.04,0.94,1.4,0.28,0.12
596,1963,50.2,15.03,9.52,7.99,4.96,4.63,2.72,0.93,0.76,1,1.54,0.3,0.12
597,1966,49.34,16.55,9.64,7.57,4.47,5.24,2.71,0.88,0.77,0.96,1.24,0.26,0.11
598,1966,50.53,14.26,9.66,8.26,4.67,5.26,2.63,0.9,0.73,1,1.33,0.29,0.14
599,1969,47.47,17.37,10.44,3.4,7.14,7.55,2.85,0.93,0.76,0.59,0.57,0.46,0.36
600,1971,45.2,19.65,9.41,3.45,7.21,8.78,2.58,0.93,0.75,0.46,0.53,0.51,0.41
601,1972,52.07,13.88,10.12,6.96,4.53,5.23,2.66,0.95,0.74,0.9,1.23,0.29,0.15
602,1972,47.41,14.36,9.22,9.93,5.74,5.99,2.57,0.87,0.87,0.94,1.28,0.29,0.16
603,1975,34.81,14.7,7,19.7,12.63,5.78,2.11,0.74,0.62,0.41,0.72,0.38,0.22
604,1975,49.66,13.75,9.52,8.35,5.53,5.92,2.62,0.99,0.79,0.95,1.18,0.3,0.14
605,1978,45.06,17.9,8.81,10.03,7.14,4.07,2.71,0.9,0.66,0.91,1.04,0.29,0.13
606,1979,50.02,15.45,9.83,6.16,4.6,6.41,2.74,1.04,0.78,0.94,1.25,0.32,0.18
607,1980,50.3,14.93,9.51,7.83,4.94,5.16,2.66,0.94,0.71,0.91,1.3,0.31,0.14
608,1984,50.59,15.8,9.97,6.62,4.79,4.78,2.9,1,0.57,1.04,1.15,0.31,0.14
609,1988,46.28,16.51,9.08,8.77,4.75,6.33,2.82,0.86,0.86,1.2,1.71,0.27,0.11
610,1988,48.03,17.01,9.45,7.06,4.34,6.1,2.73,0.95,0.83,0.99,1.74,0.29,0.11
611,1991,50.45,17.18,9.54,6.01,4.76,5,2.38,1.14,0.52,0.99,1.09,0.29,0.28
612,1993,50.17,17.11,10.03,5.84,4.3,5.14,2.49,1.08,0.9,1.03,1.16,0.28,0.21
613,1995,48.86,17.15,9.32,7.02,4.65,5.46,2.7,0.99,0.77,1.02,1.24,0.27,0.29
614,1995,48.57,17.02,9.23,7.01,4.53,5.52,2.8,0.96,0.81,1.01,1.72,0.27,0.28
615,2000,48.69,19.05,9.2,5.4,4.02,6.01,2.66,1.01,0.89,1,1.06,0.32,0.33
616,2001,46.32,17.46,8.75,8.82,6.05,5.34,2.53,0.96,0.9,0.96,1.07,0.26,0.32
617,2001,45.64,17.39,8.55,9.54,6.43,5.37,2.42,0.98,0.88,0.91,1.03,0.3,0.31
618,2005,46.99,20.39,8.96,5.66,3.54,6.01,2.82,1.06,0.8,1.03,1.9,0.3,0.25
619,2005,47.57,20.68,8.78,5.55,3.4,4.99,2.85,1.05,0.79,1.1,2.4,0.31,0.25
620,2008,46.25,21.76,9.49,4.67,2.97,5.49,2.8,1.04,1.49,1.06,2.25,0.28,0.2
621,2008,47.31,20.47,8.92,5.83,3.3,5.59,2.69,1,0.99,1.05,2.05,0.3,0.25
622,2013,35.54,30.64,7.09,7.9,3.25,6.08,2.79,0.79,2.13,0.7,2.12,0.27,0.25
623,2013,51.08,18.1,9.8,4.94,3.87,5.05,2.64,1.03,0.87,1.03,0.74,0.3,0.27
624,2014,45.18,17.12,8.97,8.49,7.18,6.26,2.52,1,0.96,0.73,0.7,0.36,0.31
625,2015,46.61,16.26,14.09,2.11,10.79,4.93,2.91,0.86,0.5,0.1,0.34,0.05,0.38
626,2015,51.79,10.98,15.9,2.23,5.86,2.97,6.31,0.6,0.6,1.89,0.55,0.03,0.19
627,2018,43.74,13.94,11.56,8.36,8.22,5.65,3.73,0.86,1.27,0.71,1.36,0.08,0.29
628,2018,49.03,11.04,13.22,6.3,7.41,4.77,4.02,0.74,1.25,0.74,1.08,0.06,0.24
629,2018,44.95,12.5,14.42,7.91,7.27,4.3,4.26,0.4,1.29,1.21,1.14,0.04,0.22
630,2018,66.41,3.27,7.76,7.65,5.29,3.23,2.88,0.46,0.9,0.96,0.87,0.11,0.14
631,2018,61.08,3.96,8.28,9.8,6.27,3.03,3.14,0.52,1.17,1.23,1.01,0.04,0.15
632,2018,61.77,3.36,9.18,9.72,6.27,2.43,3.32,0.39,0.78,1.6,0.87,0.05,0.13
633,2019,65.62,6.58,10.05,3.35,2.5,2.44,4.03,1.24,1.07,1.75,0.91,0.1,0.08
634,2019,43.62,18.74,9.09,5.46,5.88,10.12,2.49,0.84,0.84,0.43,1.5,0.41,0.43
635,2019,43.98,20.14,9.59,3.29,6.37,7.1,3.07,0.91,1.07,2.4,0.97,0.34,0.48
636,2022,48.39,10.92,15.16,4.26,7.27,4.38,4.54,1.33,1.55,0.63,0.95,0.13,0.17
637,2022,46.97,15.7,11.7,5.65,5.92,6.16,3.67,0.72,0.95,0.53,1.63,0.11,0.2
638,2022,49.09,12.75,14.06,4.95,6.09,4.86,4.23,0.58,0.77,0.73,1.54,0.08,0.16
639,2022,45.73,15.98,11.99,5.6,6.25,6.45,3.8,0.86,0.93,0.46,1.48,0.11,0.25
640,2022,46.35,17.82,11.38,4.82,5.58,6.78,3.45,0.59,0.7,0.59,1.25,0.16,0.33
641,2022,49.71,11.36,14.44,2.51,6.72,3.89,5.75,0.72,1.28,2.35,0.89,0.04,0.24
642,2025,43.44,21.58,8.29,2.57,6.84,11.49,2.37,0.9,0.7,0.33,0.41,0.51,0.43
643,2026,43.9,20.45,8.86,3.08,7.24,10.13,2.49,1.05,0.76,0.38,0.48,0.64,0.43
644,2029,47.19,19.72,9.07,6.65,3.33,4.99,2.98,1.07,0.8,0.96,2.45,0.32,0.2
645,2032,46.95,19.19,9.56,6.46,3.55,6.02,2.73,1.08,0.77,1.01,1.86,0.31,0.23
646,2038,46.81,21.9,9.09,5.48,3.15,5.38,2.76,1.05,1.11,0.82,1.7,0.32,0.1
647,2042,45.13,20,8.62,7.9,4.83,4.74,2.74,1.04,0.91,0.82,2.5,0.31,0.12
648,2042,43.64,21.28,8.58,7.99,4.65,4.7,2.64,1.01,1.25,0.81,2.68,0.32,0.12
649,2048,21.69,16.58,4.17,29.86,17.93,3.3,1.86,0.5,1.58,0.27,1.71,0.17,0.17
650,2048,35.45,19.01,6.27,18.46,10.47,3.87,1.74,0.84,1.65,0.64,0.89,0.25,0.17
651,2049,46.11,23.79,8.58,5.34,3.89,5.42,2.36,1.06,1.16,0.78,0.75,0.31,0.15
652,2050,50.22,22.42,8.89,3.84,3.07,4.4,2.21,1.15,1.13,1.12,0.67,0.33,0.18
