Rank,Days_on_Mars,SiO2,FeO,Al2O3,SO3,CaO,MgO,Na2O,TiO2,P2O5,K2O,Cl,Cr2O3,MnO
653,2055,47.57,22.42,8.41,5.8,4.23,6.02,1.27,1.23,0.36,0.94,0.96,0.25,0.21
654,2055,52,23.65,9.11,2.22,2.47,3.43,2.26,1.14,1.06,1.11,0.61,0.34,0.19
655,2080,41.87,22.33,7.8,10.25,7.72,2.76,2.3,1.06,1.11,0.96,0.93,0.34,0.26
656,2080,42.9,22.12,7.81,9.86,7.52,2.66,2.24,1.05,1.11,0.94,0.89,0.32,0.21
657,2082,44.97,21.7,8.49,8.15,6.45,3.59,1.99,1.15,1.07,1,0.56,0.34,0.23
658,2090,43.81,23.44,8.11,5.54,4.53,7.2,2.57,1.12,0.94,0.72,0.89,0.4,0.22
659,2090,41.05,21.49,7.22,12.65,7.05,3.8,2.1,1.01,0.83,0.89,1.05,0.3,0.19
660,2100,47.05,20.56,8.87,6.38,4.05,5.05,2.52,1.07,0.75,1.07,1.67,0.32,0.29
661,2101,44.12,20.73,8.55,7.83,4.86,6.19,2.48,1.04,0.83,0.91,1.54,0.34,0.28
662,2101,42.25,20.21,8.33,8.57,5.65,6.73,2.68,1.04,0.84,0.85,1.83,0.33,0.32
663,2104,46.08,20.49,8.77,6.13,3.92,6.5,2.52,1.05,0.95,0.86,1.65,0.34,0.35
664,2107,43.03,17.91,8.3,9.44,6.23,5.89,2.84,0.91,1.07,1,2.19,0.28,0.42
665,2108,43.69,24.31,8.57,5.07,3.09,5.63,2.72,0.98,2.46,0.7,2,0.28,0.19
666,2109,43.97,20.88,8.28,8.24,4.86,5,2.79,1,0.75,0.97,2.34,0.32,0.25
667,2113,46.58,22.06,8.88,5.78,4.2,4.76,2.56,1.07,0.72,1.06,1.33,0.32,0.27
668,2113,47.49,21.72,9.01,6.07,4.45,4.32,2.44,1.13,0.67,1.09,0.69,0.34,0.27
669,2117,47.65,19.23,8.89,6.62,4.36,5.44,2.64,1.04,0.89,1.03,1.38,0.3,0.25
670,2121,47.92,19.18,9.02,6.2,4.57,5.79,2.52,0.99,0.92,0.98,0.94,0.29,0.34
671,2122,45.85,17.94,8.65,8.87,6.28,5.33,2.46,0.97,0.92,0.93,0.99,0.28,0.31
672,2124,47.9,21.92,9.02,4.82,4.92,4.43,2.56,1.15,0.75,1.05,0.43,0.35,0.37
673,2124,48.76,21.48,9.26,4.07,4.67,4.67,2.62,1.09,0.81,1.06,0.49,0.34,0.36
674,2127,50.03,18.04,9.46,5.13,3.34,5.23,2.88,1.02,0.82,1.06,2.15,0.31,0.23
675,2127,44.76,18.41,8.46,8.93,4.88,6.57,2.42,0.97,0.94,0.87,1.9,0.28,0.33
676,2131,50.14,21.46,9.62,2.4,2.74,6.2,2.7,0.99,1.38,0.88,0.69,0.31,0.2
677,2131,48.71,17.74,9.32,7.01,5.28,4.98,2.53,0.97,0.92,0.94,0.81,0.31,0.23
678,2131,53.98,16.43,10.39,3.02,3.33,5.73,2.71,1,0.89,1.02,0.66,0.3,0.25
679,2134,47.88,18.46,8.89,7.76,5.27,5.02,2.42,1.02,0.81,0.93,0.8,0.32,0.09
680,2134,46.39,17.51,8.86,8.86,6.27,5.29,2.53,1,0.83,0.87,0.88,0.32,0.11
681,2154,44.28,20.54,8.69,8.31,6.63,4.49,2.44,1.08,0.86,0.93,0.95,0.3,0.18
682,2154,44.08,21.53,8.75,7.59,6.44,4.72,2.45,1.03,0.84,0.91,0.89,0.34,0.17
683,2155,45.95,23.15,8.49,5.49,5.36,4.79,2.44,1.01,0.97,0.87,0.68,0.38,0.2
684,2160,47.48,19.66,9.01,6.54,3.94,5.81,2.61,1,0.94,0.91,1.28,0.33,0.21
685,2165,48.3,15.37,9.08,8.8,4.4,6.23,2.59,1,0.63,1.09,1.69,0.29,0.23
686,2165,48.63,16.04,9.39,7.87,3.84,6.63,2.68,0.99,0.77,1.07,1.35,0.27,0.22
687,2165,51.46,17.28,10.13,4.99,4.02,5.26,2.68,0.97,0.68,1.05,0.78,0.29,0.17
688,2168,46.67,13.78,9.12,11.02,6.43,5.68,2.57,0.95,0.85,0.95,1.16,0.31,0.21
689,2168,47.12,15.44,9.44,8.78,5.98,6.14,2.61,0.97,0.81,0.91,0.96,0.34,0.22
690,2217,32.24,18.78,6.58,20.42,11.21,4.76,2.26,0.66,0.7,0.58,1.23,0.2,0.14
691,2217,48.42,14.41,9.53,9.17,5.92,5.65,2.55,0.94,0.72,1.04,0.87,0.3,0.22
692,2220,50.2,13.39,9.83,8.57,5.47,5.49,2.39,0.84,0.68,1.04,0.94,0.33,0.23
693,2220,49.79,13.7,9.7,9.35,5.11,5.23,2.5,0.94,0.72,1.05,1.04,0.29,0.23
694,2223,53.25,16.2,10.59,3.3,3.44,5.74,2.75,0.75,0.67,1,0.99,0.3,0.2
695,2223,48.87,15.86,9.28,9.56,5.53,4.33,2.4,0.88,0.79,0.8,1,0.28,0.13
696,2223,53.54,16.13,10.3,4.18,3.54,5.03,2.68,0.96,0.88,0.95,1.07,0.33,0.16
697,2245,50.59,18.6,9.45,5.61,4.83,4.2,2.58,0.94,0.73,0.85,0.93,0.3,0.14
698,2245,51.58,17.31,9.64,5.63,4.84,4.29,2.57,0.88,0.79,0.89,0.92,0.28,0.15
699,2247,52.38,16.97,10.02,4.86,4.19,4.58,2.68,0.96,0.78,0.92,0.99,0.29,0.14
700,2254,50.32,17.43,9.62,6.31,4.49,4.85,2.45,0.97,0.76,1.06,1.1,0.28,0.1
701,2255,47.29,17.76,9.33,7.79,4.71,5.56,2.62,0.93,0.89,0.98,1.45,0.29,0.1
702,2258,46.44,17.07,8.79,10.7,4.97,4.83,2.54,0.99,0.86,0.68,1.54,0.28,0.07
703,2258,42.84,15.81,8.6,11.93,6.89,6.4,2.67,0.98,0.95,0.55,1.74,0.3,0.12
704,2288,37.65,20.28,7.54,14.96,8.19,3.92,2.07,0.99,0.87,0.64,2.06,0.33,0.1
705,2289,42.25,20.19,8.37,9.37,6.61,6.14,2.36,0.98,0.86,0.58,1.34,0.4,0.22
706,2291,37.37,20,7.33,15.28,8.64,3.97,2.13,1,0.87,0.62,2.1,0.31,0.08
707,2292,35.43,19.77,7.21,16.85,9.16,4.14,2.03,0.94,0.94,0.57,2.28,0.3,0.1
708,2295,40.69,15.92,8.01,14.9,7.6,5.5,2.54,0.94,0.98,0.51,1.8,0.28,0.09
709,2299,51.13,19.84,9.84,4.35,3.34,4.34,2.63,1.24,0.76,0.83,1.05,0.37,0.06
710,2300,48.66,19.88,9.34,5.76,3.24,5.32,2.55,1.16,0.82,0.98,1.59,0.3,0.06
711,2301,46.76,19.2,9.47,7.24,4.43,5.3,2.39,1.12,0.86,1.01,1.46,0.32,0.09
712,2301,48.34,19.98,9.73,5.41,3.55,4.57,2.53,1.16,0.75,1.14,1.99,0.34,0.09
713,2304,47.83,21.42,9.27,5.37,3.61,4.91,2.46,1.15,0.77,1.33,1.13,0.33,0.11
714,2308,48.27,22.01,9.52,3.48,3.9,5.76,2.63,1.06,0.64,1.09,0.77,0.37,0.15
715,2308,47.37,21.5,9.36,3.62,4.55,6.68,2.61,1.1,0.72,0.87,0.75,0.42,0.23
716,2308,47.04,21.1,9.52,3.46,4.98,6.98,2.67,1.09,0.73,0.86,0.68,0.47,0.24
717,2311,45.75,21.87,8.77,4.75,4.51,7.02,2.71,0.94,0.64,0.87,1.1,0.44,0.22
718,2313,43.53,20.88,8.92,3.52,7.05,9.56,2.42,1.2,0.72,0.39,0.52,0.73,0.45
719,2315,50.3,20.38,9.5,3.87,3.16,5.14,2.68,1.13,0.65,1.29,1.17,0.33,0.11
720,2315,48.04,20.03,9.3,5.04,4.02,5.83,2.6,1.12,0.72,1.16,1.37,0.36,0.12
721,2315,48.27,20.03,9.32,4.98,3.96,5.66,2.57,1.13,0.72,1.19,1.39,0.35,0.12
722,2318,43.94,18.34,8.78,8.5,5.94,6.7,2.5,1.08,0.75,0.7,1.82,0.33,0.22
723,2318,45.01,17.94,9.03,7.29,5.38,6.83,2.73,1.13,0.76,0.81,2.12,0.34,0.22
724,2320,46.18,17.57,9.21,6.77,5.39,6.53,2.68,1.21,0.72,0.75,1.95,0.32,0.24
725,2333,41.36,17.28,8.51,11.47,6.64,6.99,2.51,0.95,0.89,0.63,1.8,0.26,0.29
726,2333,40.43,15.93,8.09,13.21,8.33,6.37,2.49,0.92,0.82,0.58,1.8,0.25,0.3
727,2347,48.66,19.86,9.07,3.99,3.81,6.92,2.46,1.16,0.71,0.82,1.47,0.39,0.2
728,2349,44.3,20.73,8.82,3.72,6.78,9.21,2.54,1.02,0.59,0.49,0.63,0.58,0.41
729,2349,44.94,21.59,8.62,4.61,5.41,7.64,2.44,1.23,0.79,0.7,0.95,0.53,0.3
730,2349,46.82,21.56,8.94,3.93,4.38,6.86,2.56,1.12,0.75,0.91,1.18,0.45,0.22
731,2349,44.33,16.59,8.21,10.26,6.88,6.39,2.27,1.08,0.74,0.73,1.52,0.32,0.21
732,2352,49.89,19.93,9.16,3.57,3.16,6.02,2.61,0.91,0.66,1.09,1.82,0.33,0.12
733,2356,46.86,21.68,9.14,4.11,4.04,6.99,2.45,0.9,0.81,0.86,1.05,0.45,0.2
734,2356,46.74,21.54,8.76,4.03,4.41,6.99,2.7,1.14,0.78,0.91,1.08,0.37,0.26
735,2356,46.19,21.84,8.74,4.08,4.61,7.23,2.58,0.98,0.85,0.81,0.99,0.41,0.24
736,2356,48.49,20.3,8.7,5.41,3.9,5.39,2.52,1.12,0.77,1.08,1.45,0.33,0.11
737,2356,48.49,20.3,8.7,5.41,3.9,5.39,2.52,1.12,0.77,1.08,1.45,0.33,0.11
738,2359,47.26,19.45,9.03,5.4,4.06,7.21,2.36,0.97,0.85,0.77,1.55,0.3,0.21
739,2361,49.07,22.04,8.87,4.48,2.8,5.39,2.5,1.14,0.75,1.12,0.97,0.33,0.19
740,2363,49.53,22.37,9.05,3.59,2.79,5.23,2.48,1.12,0.74,1.07,1.11,0.33,0.24
741,2363,51.21,21.96,9.54,2.97,2.38,4.5,2.63,1.15,0.7,1.12,1.01,0.33,0.19
742,2365,49.07,19.56,8.95,4.71,3.17,6.67,2.3,1.14,0.78,0.84,1.66,0.28,0.25
743,2367,47.54,19.51,9.27,4.58,3.57,7.18,2.51,1.03,0.92,0.7,1.8,0.3,0.34
744,2367,47.42,19.79,9.07,4.99,3.65,7.26,2.18,1.16,0.81,0.73,1.63,0.34,0.32
745,2367,48.44,19.49,9.44,4.16,3.21,7.03,2.46,1.12,0.82,0.75,1.88,0.3,0.33
746,2377,47.25,18.95,8.7,5.38,3.88,7.53,2.3,1.07,1.03,0.66,1.7,0.36,0.44
747,2377,44.29,21.01,9.21,3.73,6.07,8.8,2.57,0.97,0.77,0.61,0.82,0.45,0.33
748,2377,42.36,20.69,9,5.58,7.25,8.65,2.49,0.99,0.78,0.48,0.64,0.45,0.41
749,2379,41.55,20.59,8.24,9.89,7.03,5.84,2.21,1.08,0.81,0.6,0.95,0.38,0.36
750,2380,42.28,20.74,7.79,9.17,6.56,6.74,2.24,1.18,0.75,0.6,0.55,0.36,0.38
751,2380,42.46,21.38,8.34,8,6.07,6.89,2.24,1.2,0.77,0.63,0.55,0.35,0.42
752,2382,47.09,19.69,8.63,5.43,3.84,7.49,2.32,1.16,0.85,0.7,1.4,0.36,0.4
753,2382,46.83,19.59,8.51,5.68,4.17,7.35,2.3,1.18,0.86,0.7,1.46,0.35,0.38
754,2402,38.56,19.86,7.34,12.96,9.23,5.66,1.78,1.1,0.97,0.62,0.32,0.36,0.61
755,2402,38.41,20.09,7.19,12.92,9.41,5.62,1.78,1.15,0.94,0.6,0.32,0.38,0.58
756,2404,37.04,19.41,6.26,16.19,9.98,5.6,1.35,1.12,0.64,0.59,0.46,0.28,0.43
757,2404,39.59,20.32,6.91,12.81,8.12,5.97,1.5,1.16,0.81,0.64,0.63,0.34,0.48
758,2408,47.87,21.85,8.51,4.52,3.12,5.84,2.36,1.19,0.76,1.04,1.62,0.35,0.35
759,2409,42.58,21.35,8.72,2.93,7.02,11.39,2.52,0.86,0.74,0.42,0.48,0.4,0.41
760,2409,44.59,20.13,9.06,3.12,7.25,9.76,2.53,0.9,0.75,0.4,0.48,0.48,0.42
761,2410,43.67,21.13,8.57,2.87,6.92,10.9,2.45,0.85,0.7,0.35,0.44,0.5,0.45
762,2410,44.25,18.16,10.03,5.27,7.37,8.23,2.79,0.88,0.94,0.56,0.68,0.31,0.35
763,2413,51.46,18.13,8.97,4.37,3.42,5.76,2.36,1.17,0.66,1.14,1.61,0.36,0.13
764,2414,47.6,20.7,8.87,4.49,3.68,7.04,2.33,1,0.83,0.95,1.55,0.35,0.18
765,2415,47.22,22.13,8.3,4.35,3.46,6.7,2.37,1.1,0.83,0.94,1.45,0.4,0.22
766,2415,47.34,22.15,8.49,4.27,3.3,6.56,2.37,1.13,0.99,0.91,1.3,0.35,0.24
767,2419,49.34,21.37,9.64,3.92,2.99,5.52,2.65,1.1,0.69,1.06,0.9,0.35,0.17
768,2419,49.5,22.38,9.65,3.77,2.67,5.05,2.49,1.13,0.57,1.03,0.87,0.28,0.18
769,2419,49.66,22.76,8.99,3.67,2.59,4.82,2.46,1.15,0.83,1.1,1.04,0.33,0.29
770,2422,49.98,21.59,8.66,4.08,2.81,5.91,2.24,1.09,0.66,1.07,1.13,0.32,0.07
771,2424,38.86,16.92,7.6,13.84,9.64,6.82,2.34,0.9,0.76,0.6,1.02,0.27,0.2
772,2424,45.02,21.72,8.66,5.32,4.85,7.23,2.56,1.06,0.85,0.8,1,0.38,0.26
773,2424,45.39,20.36,8.6,5.24,5.12,7.9,2.42,1.07,0.92,0.65,1.17,0.42,0.37
774,2427,46.99,20.5,8.7,4.75,4.43,7.26,2.46,1.06,0.74,0.77,1.38,0.37,0.23
775,2427,46.05,20.29,8.72,5.4,4.43,7.31,2.37,1.17,0.92,0.71,1.35,0.36,0.47
776,2431,53.1,17.79,10.17,3.27,2.74,5.22,2.58,1.17,0.75,1.34,0.87,0.34,0.34
777,2431,46.88,26.24,8.62,3.2,2.46,4.92,2.53,1.1,1.08,1.06,1.05,0.31,0.21
778,2434,51.38,21.42,9.67,2.86,2.52,4.56,2.72,1.09,0.65,1.25,1.07,0.32,0.15
779,2437,46.2,21.66,9.09,3.75,4.86,7.36,2.57,1.11,0.86,0.84,0.75,0.46,0.23
780,2437,42.8,21.8,9.14,3.83,6.56,8.97,2.57,1.15,0.8,0.54,0.61,0.69,0.4
781,2437,48.53,22.52,9.07,4.15,3.04,5.51,2.59,1.13,0.73,1.01,0.91,0.36,0.14
782,2441,48.83,22.66,9.39,3.68,2.8,5.01,2.61,1.14,0.67,1.36,1.12,0.34,0.1
783,2442,42.99,20.11,8.5,7.38,5.83,7.82,2.32,1.13,1.01,0.54,1.16,0.31,0.38
784,2443,42.92,20.45,8.86,6.7,5.37,8.06,2.39,1.15,0.97,0.65,1.27,0.34,0.27
785,2443,42.73,18.55,8.3,9.77,6.51,7.14,2.26,1.05,0.97,0.58,1.09,0.28,0.28
786,2446,43.65,19.17,8.57,8.19,5.96,6.98,2.34,1.1,0.75,0.71,1.41,0.32,0.27
787,2449,50.77,22.48,9.25,3.22,2.51,4.49,2.41,1.14,0.69,1.24,1.05,0.3,0.08
788,2450,43.31,20.69,8.5,7.25,5.64,6.2,2.13,1.08,1.19,0.68,0.96,0.31,1.25
789,2450,38.44,19.96,7.97,11.27,7.81,6.22,2.3,1.11,1.31,0.64,1.43,0.34,0.7
790,2452,47.38,19.87,9.14,5.25,4.57,6.12,2.32,1.18,1,0.86,1.18,0.36,0.29
791,2454,48.63,20.63,8.5,4.77,3.24,6.67,2.23,1.03,0.69,1.07,1.49,0.35,0.12
792,2458,45.54,19.5,8.76,6.28,4.62,7.55,2.48,1.04,0.74,0.81,1.5,0.33,0.2
793,2458,46.53,19.97,8.41,6.26,4.57,6.62,2.26,1.18,0.81,0.94,1.34,0.35,0.22
794,2461,46.57,19.72,9.09,4.83,4.2,7.77,2.46,1.13,0.95,0.76,1.38,0.37,0.25
795,2461,45.43,19.87,8.8,6.55,4.7,6.97,2.35,1.02,0.97,0.78,1.43,0.31,0.3
796,2463,47.38,19.59,9.29,4.63,4.07,7.22,2.43,1.06,0.7,0.85,1.68,0.37,0.16
797,2465,46.54,20.49,9.09,4.3,3.38,6.83,2.59,1.14,1.35,1.12,1.92,0.35,0.42
798,2465,46.39,19.61,8.78,5.44,4.36,7.56,2.48,1.12,0.84,0.82,1.6,0.34,0.22
799,2468,48.61,22.61,9.5,3.78,2.93,5.27,2.53,1.08,0.74,1.23,1.02,0.33,0.06
800,2470,48.41,18.84,9.25,5.64,4.41,5.69,2.3,1.16,0.74,1.11,1.64,0.35,0.13
801,2470,47.39,18.8,8.64,6.56,4.61,6.16,2.35,1.17,1.05,1.04,1.31,0.36,0.17
802,2472,47.03,21.79,8.24,5.02,3.7,6.19,2.22,1.17,0.82,1.15,1.71,0.34,0.15
803,2472,48.72,18.75,9.14,5.13,3.92,5.86,2.51,1.18,0.93,1.1,1.82,0.37,0.15
804,2474,46.93,22.48,8.82,4.59,3.34,5.81,2.54,1.14,0.81,1.17,1.53,0.33,0.09
805,2474,44.14,19.91,8.55,8.67,5.83,5.13,2.53,1.08,0.88,1.09,1.47,0.33,0.11
806,2477,44.61,20.42,8.6,5.82,5.15,7.76,2.49,0.96,0.9,0.75,1.22,0.42,0.33
807,2478,45.14,21.88,8.49,5.8,4.21,7,2.35,1.14,0.72,1.01,1.37,0.33,0.17
808,2478,45.36,21.91,8.56,5.55,3.99,6.85,2.44,1.12,0.81,1.06,1.43,0.34,0.17
809,2482,47.88,19.71,8.75,5.47,4.12,6.12,2.35,1.15,0.78,1.19,1.47,0.36,0.19
810,2482,49.19,20.37,9.07,4.25,3.49,5.69,2.31,1.16,0.79,1.29,1.45,0.35,0.17
811,2482,49.19,20.37,9.07,4.25,3.49,5.69,2.31,1.16,0.79,1.29,1.45,0.35,0.17
812,2483,45.51,19.93,8.3,7.3,5.09,6.32,2.28,1.1,0.81,1.07,1.29,0.34,0.18
813,2523,44.45,22.05,9.02,5.44,4.73,6.93,2.55,1.16,0.8,0.95,0.98,0.41,0.24
814,2523,43.87,23.46,8.41,6.37,5.03,5.74,2.18,1.21,0.81,1.07,0.78,0.39,0.27
815,2524,47.38,23.57,8.59,4.13,3.85,5.41,2.14,1.3,0.77,1.28,0.49,0.4,0.22
816,2525,44,21.85,9,5.08,4.94,7.87,2.53,1.06,0.91,0.82,0.99,0.38,0.27
817,2525,44.13,22.82,8.85,4.82,4.83,7.36,2.56,1.09,0.84,0.81,0.96,0.43,0.23
818,2550,39.66,20.74,7.5,11.6,8.25,5.27,2.05,1.1,0.88,0.99,0.8,0.34,0.38
819,2550,40.34,20.96,7.61,10.67,7.66,5.44,2.03,1.11,0.93,1,1.04,0.37,0.38
820,2552,38.64,20.16,7.3,13.17,9.66,4.63,1.81,1.14,0.69,1.04,0.71,0.36,0.25
821,2553,41.68,22.23,7.68,9.32,6.71,5.44,2.04,1.22,0.84,1.11,0.55,0.39,0.29
822,2557,47.27,22.68,9.09,4.47,3.47,5.97,2.56,1.1,0.75,1.05,0.91,0.33,0.12
823,2558,43.26,20.56,9.34,5.19,6.34,8.39,2.7,1.02,0.85,0.58,0.8,0.47,0.31
824,2558,40.62,22.1,8.67,6.2,6.71,8.78,2.58,1.14,0.86,0.48,0.72,0.56,0.4
825,2563,44.53,21.84,9.07,5.05,4.93,7.42,2.73,1.03,0.82,0.67,0.98,0.42,0.25
826,2564,42.72,20.63,9.1,4.08,7.22,9.73,2.62,0.99,0.77,0.45,0.58,0.53,0.44
827,2564,49.01,22.67,9.23,3.65,2.93,4.78,2.64,1.14,0.76,1.17,1.34,0.32,0.1
828,2567,43.97,19.45,8.67,8.56,5.53,6.42,2.4,1.15,0.88,0.93,1.38,0.31,0.1
829,2567,47.71,20.09,8.71,6.3,4.3,5.11,2.43,1.08,1.13,1.03,1.39,0.31,0.11
830,2570,48,20.64,8.86,4.98,3.59,5.99,2.5,1.06,0.93,1.06,1.6,0.34,0.13
831,2572,44.34,18.2,8.33,8.66,6,7.11,2.46,1.03,0.97,0.79,1.21,0.29,0.14
832,2574,41.51,17.22,8.09,12.15,8.14,5.91,2.47,0.98,0.9,0.75,1.24,0.28,0.16
833,2574,47.96,20.91,8.36,6.17,4.21,4.78,2.31,1.05,0.85,1.05,1.47,0.3,0.19
834,2577,50.55,18.83,9.29,4.5,3.67,5.71,2.51,1.19,0.81,1.06,1.09,0.38,0.14
835,2579,45.65,20.15,8.17,7.61,4.79,6.4,2.4,1.05,0.8,0.95,1.1,0.32,0.17
836,2581,44.08,15.52,8.78,9.72,6.95,7.68,2.55,1.12,1.04,0.66,1.09,0.31,0.22
837,2581,47.26,18.27,8.77,6.54,4.76,7.09,2.32,1.15,0.89,0.78,1.16,0.38,0.2
838,2583,46.37,18.26,8.84,7.98,4.95,6.3,2.4,1.11,0.93,0.85,1.2,0.33,0.21
839,2585,48.06,18.72,9.41,6.69,4.44,5.4,2.25,1.09,0.94,0.92,1.31,0.34,0.12
840,2585,45.29,18.42,8.53,7.32,5.22,7.65,2.52,1.14,0.93,0.72,1.32,0.36,0.22
841,2587,45.24,19.89,8.6,7.53,5.12,6.15,2.52,1.02,1.07,0.83,1.23,0.29,0.14
842,2587,45.81,19.72,8.61,8.32,5.06,5.13,2.44,1.05,1.11,0.92,1.15,0.3,0.13
843,2590,49.57,19.85,9.2,5.15,3.52,5.24,2.56,1,0.88,1.02,1.19,0.31,0.08
844,2591,45.52,19.81,8.63,7.85,5.17,5.48,2.48,1.14,1.11,0.98,1.16,0.32,0.12
845,2591,49.73,20.71,9.34,4.3,3.33,5.16,2.58,1.14,0.78,1.15,1.09,0.33,0.09
846,2591,47.37,20.42,8.53,6.08,4.44,5.6,2.52,1.11,0.97,0.99,1.17,0.32,0.12
847,2594,43.66,21.86,8.63,3.71,6.12,9.37,2.52,0.99,0.75,0.56,0.69,0.5,0.33
848,2594,44.53,22.32,8.94,3.9,4.99,8.22,2.53,1.09,0.8,0.74,0.91,0.45,0.27
849,2594,47.95,22.52,8.96,3.66,3.5,5.87,2.59,1.14,0.85,1.02,1.07,0.41,0.17
850,2597,53.17,18.21,9.64,3.58,2.76,4.34,2.46,1.16,1.25,1.12,1.56,0.34,0.09
851,2601,47.98,19.65,9.15,5.49,3.8,5.98,2.65,1.07,0.96,1.01,1.52,0.32,0.12
852,2601,45.9,17.58,8.5,9.9,5.95,4.95,2.32,1.04,1.06,0.94,1.18,0.3,0.11
853,2604,47.98,19.38,9.1,6.37,4.19,5.73,2.38,1.03,1.03,0.94,1.11,0.26,0.18
854,2606,48.25,17.87,8.99,6.37,4.19,6.45,2.64,1.19,0.81,0.87,1.46,0.38,0.15
855,2608,36.84,22.42,5.08,9.4,4.74,15.63,1.68,0.44,0.83,0.37,1.22,0.68,0.35
856,2608,46.69,17.64,8.47,10.78,5.55,4.23,2.16,1.06,0.76,1.02,0.94,0.3,0.11
857,2611,47.28,17.53,8.89,8.94,5.08,5.09,2.31,1.05,0.81,0.95,1.27,0.33,0.11
858,2613,44.21,20.12,8.93,7.88,5.13,6.76,2.51,1.07,0.81,0.62,1.14,0.33,0.19
859,2616,45.74,17.75,8.64,8.99,5.85,6.17,2.51,0.99,0.8,0.66,1.05,0.28,0.12
860,2631,45.48,16.69,8.67,10.22,6.37,5.95,2.42,0.86,0.86,0.73,0.72,0.27,0.25
861,2631,44.42,19.13,9.16,3.23,7.25,8.74,3.22,0.77,0.9,1.21,0.74,0.63,0.48
862,2640,51.62,16.76,9.83,2.26,5.8,6.3,3.05,0.94,1.15,0.91,0.5,0.28,0.32
863,2641,45.49,18.72,9.09,2.66,7.05,7.44,3.36,1.01,1.13,2.28,0.66,0.32,0.43
864,2642,24.55,40.12,5.2,8.55,3.59,7.53,1.66,0.43,0.69,0.21,1.81,0.08,5.11
865,2642,46.64,17.06,10.2,1.9,6,7.89,4.17,0.92,1.31,2.37,0.58,0.28,0.35
866,2645,48.86,18.61,9.05,6.39,4.12,5.87,2.38,1.01,0.98,0.78,1.3,0.25,0.13
867,2647,49.86,16.93,9.42,6.63,3.94,5.75,2.61,1,0.88,0.84,1.25,0.34,0.1
868,2653,47.36,19.03,9.19,8.34,3.37,5.63,2.18,0.98,1.26,0.82,0.95,0.3,0.18
869,2653,50.02,18.27,8.86,5.86,3.93,4.98,2.68,1.08,0.92,0.88,1.71,0.31,0.14
