Rank,Days_on_Mars,SiO2,FeO,Al2O3,SO3,CaO,MgO,Na2O,TiO2,P2O5,K2O,Cl,Cr2O3,MnO
870,2656,46.9,18.79,9.02,6.62,4.15,6.91,2.62,1.03,0.95,0.79,1.22,0.31,0.15
871,2656,49.18,16.84,8.88,8.95,5.59,4.02,2.19,1.06,0.91,0.94,0.77,0.29,0.11
872,2658,43.75,18.52,8.32,10.11,6.55,6.16,2.28,0.94,0.86,0.68,0.86,0.3,0.2
873,2659,44.84,15.22,9.43,8.56,6.2,8.61,2.9,0.97,0.95,0.7,0.71,0.32,0.33
874,2660,36.15,19.49,8.12,13.49,7.7,8.01,2.58,0.94,0.87,0.37,1.34,0.28,0.27
875,2660,50.33,17.26,9.55,4.26,3.97,7.6,2.79,0.99,0.91,0.89,0.62,0.29,0.28
876,2662,47.27,19.19,9.05,4.18,4.75,7.69,2.96,0.93,1.14,0.89,1.11,0.28,0.24
877,2662,47.5,20.1,8.73,3.71,4.62,7.36,2.94,0.94,1.16,0.93,1.19,0.29,0.24
878,2665,46.66,19.02,8.74,5.3,5.4,7.36,2.7,0.94,0.93,0.8,1.01,0.36,0.25
879,2665,50.21,17.41,9.34,3.02,5.29,6.75,3.26,1,1.07,0.89,0.98,0.29,0.25
880,2665,50.5,18.03,9.53,2.63,5.05,6.16,3.38,1,1.12,0.94,0.88,0.28,0.25
881,2666,42.04,20.69,8.54,5.46,7.27,7.78,2.89,0.92,1,0.74,1.68,0.3,0.33
882,2666,40.6,16.25,7.62,6.67,3.31,17.11,1.86,0.85,0.97,2.14,1.42,0.25,0.25
883,2666,48.42,18.74,9.03,4.12,5.18,6.72,2.93,1,1.25,0.93,0.71,0.3,0.25
884,2684,49.29,18.68,9.27,2.99,6.1,5.39,3.51,1.07,1.04,0.93,0.91,0.28,0.26
885,2684,46.64,19.94,9.29,3.71,5.88,6.29,3.39,1.07,1.09,0.89,0.91,0.31,0.27
886,2686,50.55,19.23,9.46,1.43,5.28,5.58,3.68,1.06,1.12,0.96,0.84,0.31,0.25
887,2690,40.01,19.88,7.95,6.73,5.07,11.36,2.04,1,1.09,1.43,2.18,0.27,0.49
888,2690,26.38,39.65,5.09,4.89,3.6,8.57,1.57,0.58,0.62,0.24,1.97,0.14,6.33
889,2694,39.71,17.52,8.2,14.05,5.92,7.99,2.69,0.87,0.95,0.53,0.84,0.33,0.23
890,2696,42.22,19.75,8.78,6.84,6.65,8.69,2.5,0.98,0.94,0.46,1.09,0.42,0.4
891,2696,41.72,21.05,8.58,5.11,6.37,9.91,2.65,1,0.86,0.39,1.18,0.56,0.46
892,2699,42.36,19.79,9.11,5.48,6.51,8.81,3.18,0.83,0.7,1,0.97,0.51,0.59
893,2699,40.98,20.43,8.57,6.27,6.93,9.05,3.02,0.77,0.75,0.94,0.95,0.58,0.66
894,2699,42.24,19.31,8.63,6.43,6.81,8.84,3.03,0.81,0.77,0.94,1.01,0.51,0.52
895,2701,40.98,20.53,8.82,6.49,6.34,8.71,3.15,0.9,0.76,0.89,1.33,0.46,0.51
896,2701,42.85,20.34,9,4.9,5.75,9.02,3.29,0.83,0.63,0.9,1.37,0.5,0.51
897,2703,41.96,21.48,7.94,4.85,5.8,9.96,2.87,0.82,0.68,0.83,1.6,0.57,0.52
898,2703,42.59,20.84,8.24,4.6,5.9,9.76,3,0.77,0.68,0.86,1.67,0.5,0.48
899,2706,43.44,18.83,9.3,5.47,7.24,9.08,2.55,1.02,0.8,0.52,0.72,0.48,0.4
900,2706,39.18,21.58,8.22,7.18,6.36,9.25,3.08,0.84,0.64,0.84,1.61,0.55,0.56
901,2724,41.7,20.1,9.22,6.37,6.25,8.44,3.05,0.83,0.84,0.81,1.17,0.45,0.52
902,2724,41.85,21.25,9.36,4.79,6.23,8.58,3.29,0.92,0.69,0.96,1.04,0.4,0.49
903,2727,39.54,22.67,8.86,4.58,7.1,9.36,3.45,0.87,0.59,1.09,0.81,0.42,0.54
904,2728,41.54,22.71,9.25,3.18,6.14,9.09,3.55,0.87,0.69,0.99,0.84,0.46,0.53
905,2731,44.23,19.62,9.23,4.31,7.07,9,2.64,0.96,0.81,0.44,0.61,0.53,0.42
906,2733,40.99,19.13,8.92,7.65,6.4,9.65,2.76,0.92,0.89,0.46,1.24,0.42,0.4
907,2733,42.03,20.08,8.77,6.06,6.47,9.28,2.8,0.97,0.92,0.44,1.17,0.42,0.42
908,2733,41.52,19.83,8.97,6.54,6.59,9.43,2.78,0.95,0.93,0.45,1.05,0.39,0.41
909,2744,49.41,19.2,9.11,7.16,3.85,4.86,2.26,1.03,0.94,0.84,0.65,0.29,0.15
910,2744,50.95,19.14,9.51,5.82,3.71,4.31,2.37,1.04,0.99,0.88,0.58,0.29,0.15
911,2749,48.32,15.98,8.73,9.16,5.79,4.76,2.33,1,1.03,0.86,1.27,0.29,0.11
912,2749,53.11,17.28,9.5,4.46,3.47,4.65,2.32,1.12,1.19,0.96,1.15,0.32,0.11
913,2773,47.19,19.73,8.54,7.31,5.95,4.14,2.09,1.19,1.02,0.9,1.09,0.33,0.14
914,2773,48.04,18.27,8.81,6.91,5.3,5.07,2.34,1.11,1.08,0.88,1.35,0.34,0.15
915,2775,46.87,18.82,8.74,7.48,6.11,4.74,2.23,1.08,1.03,0.91,1.12,0.38,0.17
916,2775,47.51,19.02,8.69,6.99,6.22,4.71,2.11,1.1,1.05,0.78,0.91,0.41,0.22
917,2785,42.12,16.75,7.48,14.16,7.69,4.35,2.4,0.98,0.9,0.82,1.65,0.28,0.13
918,2792,48,21.39,8.66,5.21,3.72,5.5,2.45,1.08,0.93,0.99,1.24,0.32,0.16
919,2792,50.37,21.17,8.97,3.94,3.07,4.83,2.4,1.1,1.08,1.08,1.18,0.3,0.13
920,2801,48.96,14.65,9.12,8.98,5.82,5.56,2.32,1.11,0.81,0.71,1.15,0.34,0.16
921,2801,51.04,14.34,9.08,8.89,5.19,4.49,2.25,1.15,0.76,0.79,1.13,0.32,0.17
922,2803,43.21,15.6,8.58,12.4,7.66,5.65,2.48,1.04,0.9,0.76,1.01,0.32,0.13
923,2803,45.08,16.14,8.55,11.3,6.73,5.39,2.38,1.03,0.81,0.85,1.01,0.3,0.13
924,2819,48.45,21.9,9.07,4.8,2.65,5.5,2.64,1.1,0.88,1.09,1.19,0.29,0.14
925,2819,48.73,21.99,9.12,4.73,2.51,5.35,2.66,1.11,0.88,1.09,1.09,0.31,0.12
926,2826,48.45,17.8,9.16,5.28,3.28,7.04,2.3,1.15,0.95,0.98,1.96,0.35,0.79
927,2826,46.98,18.48,9.11,5.7,3.43,7.3,2.38,1.11,1.11,0.89,1.77,0.33,0.85
928,2833,47.14,18.81,9.01,6.06,3.26,7.49,2.41,1.14,0.87,0.88,1.66,0.33,0.5
929,2833,48.07,18.96,8.91,5.39,3.06,7.21,2.38,1.17,0.83,0.94,1.75,0.36,0.51
930,2851,43.71,20.44,8.01,8.59,5.83,6.5,2.15,1.1,0.7,0.86,0.93,0.37,0.39
931,2851,42.85,19.77,8.05,9.6,6.32,6.55,2.16,1.11,0.73,0.88,0.91,0.32,0.37
932,2853,45.14,19.64,8.09,7.9,4.32,7.79,2.12,1.15,0.85,0.85,0.77,0.37,0.57
933,2857,44.46,16.97,8.78,7.2,4.05,7.9,2.4,1.05,2.67,0.74,1.66,0.33,1.4
934,2857,38.79,16.26,8.19,10.93,6.25,7.86,2.52,1.01,3.56,0.57,1.53,0.3,1.91
935,2857,36.19,16.27,7.84,11.52,6.54,7.59,2.62,0.88,5.49,0.55,1.49,0.25,2.44
936,2858,48.28,19.08,8.89,5.31,3.19,6.96,2.4,1.11,0.8,1.03,1.71,0.34,0.49
937,2858,48.18,18.98,9.01,5.4,3.12,7.05,2.44,1.11,0.77,0.99,1.75,0.32,0.48
938,2862,46.39,17.71,8.84,6.2,3.55,8.43,2.45,1.13,1.56,0.88,1.39,0.34,0.74
939,2862,43.49,18.32,8.58,7.41,4.34,8.68,2.13,1.08,2.01,0.73,1.47,0.36,1.03
940,2867,46.18,18.33,8.85,7.08,4.04,7.32,2.39,1.14,0.9,0.84,1.62,0.34,0.5
941,2867,46.01,18.83,8.68,6.79,4.14,7.42,2.38,1.09,0.91,0.82,1.53,0.35,0.53
942,2890,38.53,18.14,7.35,13.3,7.87,7.34,2.04,1.09,1.3,0.7,0.91,0.39,0.67
943,2890,38.96,18.22,7.83,12.06,7.77,7.59,2.21,1.06,1.37,0.69,0.89,0.36,0.66
944,2906,41.73,15.18,8.45,11.5,4.64,8.72,2.48,1.03,2.22,0.67,1.57,0.29,1.2
945,2906,43.56,16.43,8.49,8.76,4.09,8,2.43,1.03,2.64,0.77,1.73,0.3,1.4
946,2908,42.87,16.14,8.5,9.45,4.54,8.24,2.38,1.12,2.49,0.69,1.61,0.33,1.24
947,2908,42.93,16.19,8.64,9.33,5.09,7.71,2.45,1.06,2.38,0.71,1.72,0.29,1.15
948,2920,43.84,20.79,8.64,3.05,7.13,10.59,2.39,0.9,0.69,0.39,0.51,0.51,0.43
949,2920,43.93,21.01,8.59,3,6.92,10.45,2.42,0.94,0.76,0.4,0.49,0.53,0.44
950,2921,37.32,19.66,7.59,11.33,6.15,9.35,2.33,1.1,2.13,0.6,0.5,0.42,1.07
951,2925,46.7,18.88,8.88,5.46,4.57,7.69,2.64,1.04,0.88,0.88,1.33,0.39,0.36
952,2925,48.2,18.34,9.29,5.3,3.88,6.8,2.56,1.09,0.96,1.07,1.36,0.35,0.41
953,2928,44.44,21.31,8.22,7.23,4.24,7.06,2.38,0.99,1,0.83,1.32,0.31,0.23
954,2928,44.96,21.28,8.41,6.79,4.18,6.97,2.46,1.05,0.91,0.84,1.27,0.33,0.22
955,2931,49.63,21.03,9.37,4.82,2.66,5.35,2.55,1.07,0.6,1.15,1.02,0.27,0.24
956,2933,49.45,20.4,9.4,4.66,2.59,5.63,2.72,1.13,0.8,1.21,1.07,0.29,0.22
957,2935,46.32,18.31,9.39,5.73,3.96,8.19,2.58,1.05,1,0.83,1.63,0.31,0.3
958,2935,46.13,17.05,8.98,7.53,4.09,7.79,2.46,1.17,1.03,0.88,1.91,0.36,0.26
959,2938,44.6,19.39,8.39,7.77,3.18,8.44,2.3,1.08,0.93,1,1.81,0.31,0.26
960,2940,47.45,21.43,8.83,5.28,2.61,6.37,2.55,0.98,0.83,1.29,1.17,0.35,0.35
961,2942,45.86,19.22,8.57,6.88,3.63,7.48,2.42,1.06,0.91,1.08,1.72,0.36,0.38
962,2942,44.11,19.23,8.53,8.53,3.68,7.71,2.54,1.05,0.97,1.06,1.67,0.31,0.25
963,2945,47.21,18.16,8.94,6.52,3.79,6.89,2.57,1.14,0.88,1.11,1.66,0.38,0.31
964,2945,38.83,15.79,7.75,14.93,8.55,6.22,2.38,0.99,1.01,0.99,1.66,0.28,0.29
965,2949,43.86,17.81,8.22,10.09,5.38,6.76,2.32,1.03,0.93,0.94,1.75,0.32,0.21
966,2949,43.98,18.39,8.21,9.95,4.59,7,2.28,1.02,0.89,1.01,1.74,0.29,0.21
967,2951,45.28,19.25,8.16,8.75,5.28,5.36,2.33,0.99,0.95,1.07,1.42,0.41,0.26
968,2955,45.89,17.71,8.69,8.9,3.8,7.28,2.39,1.02,0.96,0.88,1.67,0.29,0.19
969,2955,43.86,17.65,8.43,10.3,4.39,7.34,2.45,0.99,1,0.85,1.88,0.29,0.21
970,2959,47.68,19.46,8.72,6.09,4.09,5.9,2.22,1.02,0.92,0.99,1.55,0.33,0.34
971,2965,49.59,20.62,9.18,4.71,3.04,5.15,2.37,1.11,0.95,1.08,1.33,0.29,0.18
972,2967,47.61,19.95,8.85,5.9,3.6,5.85,2.35,1.1,1.02,1.08,1.52,0.3,0.32
973,2969,49.72,18.8,8.92,6.12,2.92,5.8,2.5,1.04,0.8,1.13,1.31,0.3,0.2
974,2969,51.66,19.17,9.47,3.73,2.78,5.32,2.57,1.11,0.87,1.12,1.22,0.32,0.23
975,2972,51.85,19.71,9.14,4.47,2.67,4.74,2.23,1.13,0.95,1.19,1.17,0.28,0.16
976,2974,46.67,19.83,8.5,7.11,3.01,6.65,2.59,1.04,1.02,0.99,1.7,0.31,0.19
977,2974,46.76,19.69,8.62,6.57,4.05,6.13,2.37,1.07,1.11,0.92,1.6,0.31,0.29
978,2976,45.01,18.14,8.36,9.56,3.55,7.58,2.57,1.01,1.06,0.92,1.46,0.25,0.18
979,2976,43.59,18.02,8.33,11.02,3.47,8.26,2.18,1.02,1,0.87,1.38,0.31,0.19
980,2976,44.4,18.43,8.16,10.44,3.34,7.65,2.17,1.06,1.07,0.96,1.45,0.31,0.21
981,2989,42.49,21.77,8.63,2.97,7.05,10.9,2.49,0.93,0.76,0.37,0.53,0.54,0.42
982,2989,50.13,20.36,9.22,3.89,2.79,6.03,2.41,1.09,0.98,0.95,1.21,0.31,0.24
983,2992,42.19,21.94,8.74,3.12,7.15,10.36,2.44,1.11,0.75,0.38,0.48,0.72,0.47
984,2993,43.03,22.03,8.12,2.69,6.95,11.43,2.25,0.92,0.82,0.33,0.43,0.38,0.43
985,2994,43.81,21.18,8.54,2.76,7.11,10.62,2.36,0.94,0.73,0.38,0.45,0.52,0.44
986,3004,48.89,19.68,8.81,5.29,3.25,5.94,2.41,1.06,0.99,1,1.67,0.31,0.25
987,3007,46.86,19.58,8.75,6.69,4.17,5.9,2.51,1.01,0.98,1.02,1.64,0.3,0.23
988,3007,46.93,20.42,8.67,5.73,3.74,6.36,2.48,1.06,1.09,0.96,1.6,0.31,0.27
989,3010,47.84,20.63,8.59,5.21,3.45,6.06,2.55,1.08,0.99,1,1.6,0.31,0.22
990,3011,48.19,21.69,8.42,5.49,3.62,4.29,2.39,1.1,1.05,1.13,1.45,0.3,0.35
991,3013,42.34,21.38,7.59,8.98,4.79,7.12,2.28,1.01,1.12,0.82,1.62,0.22,0.27
992,3015,46.21,20.92,8.42,6.2,3.84,6.07,2.25,1.11,1.95,0.89,1.15,0.31,0.32
993,3017,48.29,19.83,8.59,6.34,4.06,4.64,2.38,1.09,0.91,1.12,1.46,0.3,0.6
994,3020,48.36,20.63,8.95,5,3.36,5.58,2.37,1.14,1.03,1.01,1.67,0.32,0.21
995,3022,49.66,21.73,9.41,3.73,2.76,4.75,2.48,1.11,1.01,1.13,1.19,0.27,0.22
996,3024,49.02,20.16,9.18,4.5,3.35,6.15,2.44,1.07,0.88,0.9,1.21,0.33,0.21
997,3024,51.36,18.02,9.08,4.85,3.75,4.97,2.43,1.17,1.31,1.08,1.13,0.33,0.17
998,3026,48.61,19.29,9.06,4.81,3.39,6.88,2.46,1.18,1.28,0.82,1.37,0.33,0.09
999,3027,46.37,19.94,8.58,6.46,4.32,6.45,2.38,1.08,0.84,0.88,1.53,0.33,0.25
1000,3028,48.07,21.17,8.95,5.67,3.81,5.07,2.41,1.05,0.88,0.95,1.17,0.32,0.14
1001,3031,46.89,18.02,8.83,8.39,5.26,5.17,2.33,0.97,1.03,0.93,1.29,0.29,0.19
1002,3031,46.17,18.2,8.73,8.57,5.53,5.1,2.34,1.02,1.21,0.93,1.31,0.27,0.19
1003,3034,44.41,18.37,8.26,10.24,5.92,5.16,2.3,0.99,1.1,0.84,1.35,0.28,0.21
1004,3034,48.26,19.38,8.92,6.43,4.32,4.83,2.43,1.01,0.92,0.97,1.38,0.3,0.23
1005,3035,42.86,21.46,8.76,3.36,6.76,10.54,2.44,0.94,0.78,0.44,0.59,0.46,0.43
1006,3035,45.2,21,8.79,3.77,5.79,8.95,2.43,0.89,0.8,0.58,0.79,0.4,0.33
1007,3037,47.35,16.92,8.59,8.39,5.23,5.37,2.35,0.98,1.24,0.91,1.67,0.27,0.23
1008,3037,45.15,17.95,8.21,9.61,5.87,5.1,2.3,1.01,1.27,0.84,1.69,0.29,0.22
1009,3040,48.72,20.65,9.26,5.06,3.5,5.39,2.24,1.02,0.9,0.98,1.31,0.28,0.18
1010,3042,47.86,21.75,9,4.64,3.28,5.81,2.54,0.97,0.94,0.92,1.33,0.29,0.22
1011,3044,44.72,17.51,8.64,10.29,4.82,6.91,2.37,1,0.92,0.83,1.16,0.29,0.17
1012,3044,48.29,18.38,9.53,6.22,4.48,5.62,2.63,1.07,1.19,0.89,0.96,0.28,0.16
1013,3047,46.21,19.58,8.57,6.86,4.32,6.31,2.42,1.03,1.04,0.93,1.65,0.37,0.23
1014,3051,38.29,17.5,7.47,15.3,6.52,7.68,2.37,0.83,1.37,0.6,1.36,0.24,0.19
1015,3051,46.2,17.57,8.46,10.86,6.53,3.77,2.17,0.99,0.92,0.8,0.89,0.3,0.16
1016,3054,47.34,17.57,8.71,7.71,4.95,6.25,2.37,1.18,1,0.76,1.26,0.29,0.22
1017,3054,46.6,17.03,8.45,10,5.75,4.95,2.35,0.97,1.01,0.77,1.17,0.28,0.23
1018,3054,50.16,17.39,9.06,6.78,4.39,4.68,2.51,0.98,1.03,0.87,1.09,0.29,0.22
1019,3068,47.36,19.59,9.03,6.14,4.35,6.27,2.47,1.08,0.99,0.79,0.99,0.3,0.24
1020,3069,46.7,19.45,8.74,6.25,4.39,7,2.41,1.04,0.98,0.73,1.07,0.31,0.36
1021,3069,46.59,18.56,9.22,6.65,4.85,6.65,2.5,1.08,1.03,0.77,1,0.33,0.31
1022,3069,28.47,23.78,5.84,18.07,12.43,6.18,2.01,0.61,0.71,0.31,0.78,0.21,0.35
1023,3071,43.23,19.87,8.34,8.85,6.09,6.58,2.37,0.98,0.93,0.64,0.98,0.3,0.42
1024,3071,49.3,19.82,9.15,5.58,4.52,4.14,2.55,1.16,0.99,0.86,0.9,0.33,0.27
1025,3074,46.45,18.47,8.64,7.77,5.18,6.23,2.37,1.11,1.09,0.76,1.05,0.3,0.21
1026,3076,46.04,17.69,9.08,8.19,4.49,6.32,2.7,0.92,0.85,0.91,1.67,0.28,0.25
1027,3078,42.99,21.85,8.29,2.92,6.98,10.92,2.35,0.95,0.73,0.34,0.48,0.59,0.45
1028,3081,48.56,19.53,8.99,5.34,3.74,6.42,2.5,1.12,0.92,0.85,1.1,0.29,0.22
1029,3083,30.88,28.79,6.63,11.87,7.7,6.04,2.72,0.79,0.72,0.57,2.47,0.25,0.23
1030,3085,47.23,18.28,8.7,7.87,4.57,6.05,2.34,0.97,1,0.74,1.08,0.3,0.42
1031,3085,49.58,15.73,8.71,8.31,6.23,4.26,2.25,1.05,1.01,0.85,1.03,0.31,0.29
1032,3088,43.84,18.91,8.24,7.75,5.17,7.92,2.68,1.07,1.04,0.67,1.51,0.34,0.4
1033,3090,48.26,17.83,8.53,7.63,4.49,5.37,2.5,1.04,0.95,0.82,1.57,0.3,0.31
1034,3090,41.82,19.85,8.35,8.4,5.69,8.22,2.58,1.11,0.98,0.62,1.29,0.34,0.33
1035,3102,44.5,20.1,8.63,7.55,5.61,5.98,2.52,1.15,0.98,0.74,1.17,0.33,0.28
1036,3102,43.17,19.11,8.7,7.78,5.51,7.89,2.67,1.07,0.99,0.68,1.35,0.34,0.27
1037,3108,46.22,20.42,8.97,7.39,5.45,4.28,2.42,1.13,0.93,0.82,1.01,0.29,0.31
1038,3108,48.35,19.06,8.88,7.5,4.7,4.62,2.38,1.11,0.74,0.83,0.88,0.31,0.3
1039,3109,43.24,16.3,8.19,11.78,5.76,6.98,2.62,0.94,0.89,0.69,1.87,0.28,0.21
1040,3110,50.11,18.3,9.57,5.67,4.76,4.46,2.57,0.98,0.93,0.79,0.71,0.33,0.29
1041,3112,35.27,28.34,6.9,10.39,4.88,6.45,2.32,0.78,0.9,1.63,1.43,0.25,0.2
1042,3112,16.86,12.26,3.64,34.37,23.3,5.06,1.84,0.2,0.72,0.17,1.29,0.06,0.13
1043,3115,22.13,6.91,4.52,33.91,24.01,3.97,1.74,0.32,0.76,0.31,0.96,0.11,0.12
1044,3115,26.46,8.17,5.24,29.64,20.8,4.39,1.87,0.49,0.76,0.38,1.32,0.15,0.14
1045,3117,29.77,14.55,6.45,23.44,14.82,5.67,1.86,0.76,0.72,0.35,0.83,0.27,0.24
1046,3119,44.96,18.37,8.77,9.43,3.54,7.16,2.51,1.03,1.06,0.83,1.55,0.29,0.19
1047,3119,49.76,19.4,8.85,6.04,3.44,5.03,2.25,1.07,1.06,0.93,1.31,0.3,0.19
1048,3122,45.26,20.83,8.55,6.46,4.36,6.57,2.64,1.14,0.95,0.73,1.8,0.26,0.17
1049,3131,42.93,17.6,8.63,9.88,6.72,6.45,2.67,1,1.04,0.73,1.46,0.28,0.34
1050,3131,44.93,16.82,8.22,12.11,5.88,5.34,2.14,1,0.94,0.79,1.07,0.29,0.18
1051,3132,44.07,18.77,8.23,8.75,5.56,7.16,2.52,1.01,1.03,0.74,1.28,0.3,0.25
1052,3132,44.14,19.13,8.19,8.76,5.47,6.95,2.37,1.02,1.03,0.71,1.26,0.3,0.27
1053,3139,42.33,17.98,8.11,11.43,7.54,5.6,1.95,0.98,1.23,0.71,0.85,0.29,0.45
1054,3139,43.63,18.75,8.48,10.75,5.92,5.98,1.76,1.03,0.96,0.76,0.92,0.24,0.38
1055,3139,45,17.76,8.53,9.2,5.55,6.78,2.33,1.04,1.05,0.68,0.96,0.29,0.41
1056,3142,26.73,40.89,5.42,8.76,3.96,6.21,2.03,0.75,0.81,0.43,3.46,0.18,0.13
1057,3142,43.35,20.94,8.65,7.47,5.61,6.85,2.46,1.09,1.09,0.67,0.89,0.34,0.25
1058,3144,35.92,26.34,7.11,10.35,7.29,6.58,1.99,0.88,0.81,0.56,1.3,0.3,0.26
1059,3144,46.36,18.29,8.37,9.84,6.26,4.14,2.23,1.06,1.05,0.76,0.77,0.3,0.24
1060,3146,36.69,26.28,7.32,9.81,6.6,6.7,2.04,0.84,1,0.54,1.33,0.34,0.24
1061,3146,39.1,21.19,7.61,11.5,7.36,5.89,2.2,0.97,1.6,0.63,1.02,0.28,0.26
1062,3149,40.11,17.47,7.08,15.7,9.18,3.89,1.99,0.89,1.47,0.62,0.76,0.23,0.21
1063,3151,42.77,19.25,8.23,9.58,5.56,7.54,2.43,1.05,1.11,0.61,0.96,0.28,0.23
1064,3156,50.11,20.6,8.92,4.93,3.09,5.04,2.29,1.1,1.23,0.82,0.99,0.31,0.19
1065,3158,39.73,18.6,7.73,13.35,6.2,7.26,1.82,1.25,1.07,0.79,1.29,0.29,0.25
1066,3158,39.18,18.52,7.69,14.26,5.82,7.64,1.88,0.85,1.29,0.66,1.01,0.26,0.24
1067,3160,40.87,17.99,8,12.13,5.56,8.07,2.36,1,1.02,0.65,1.2,0.3,0.37
1068,3160,36.84,17.4,7.14,15.93,6.08,9.52,2.23,0.85,1.14,0.55,1.23,0.3,0.41
1069,3163,38.73,18.06,7.58,15.05,5.65,7.95,2.34,0.91,1.11,0.61,1.13,0.21,0.19
1070,3165,36.94,17.41,6.68,17.86,8.65,6.18,2.04,0.86,1.07,0.66,0.93,0.27,0.15
1071,3167,42.51,20.04,8.12,9.23,5.28,6.12,2.94,1.05,1.15,0.73,1.91,0.3,0.25
1072,3167,40.99,20.12,7.52,12.36,5.86,6.03,2.2,1.01,1.21,0.74,1.12,0.26,0.24
1073,3178,42.36,21.59,7.9,9.54,5.13,5.4,2.5,1.09,1.19,0.78,1.53,0.32,0.24
1074,3178,42.24,22.17,7.75,9.53,5.12,5.33,2.31,1.08,1.2,0.79,1.46,0.34,0.28
1075,3180,43.56,22.77,7.96,8.61,4.61,5.14,2.22,1.12,1.14,0.78,1.09,0.33,0.27
1076,3181,40.93,18.02,7.97,11.97,6.3,8.47,2.14,0.87,1.05,0.52,1,0.25,0.25
1077,3181,41.03,17.99,7.99,11.79,5.99,8.67,2.2,0.93,1.09,0.6,0.89,0.23,0.32
1078,3181,39.05,16.89,7.79,14.3,7.05,8.48,2.3,0.72,0.97,0.61,1.04,0.27,0.28
1079,3181,38.9,16.86,7.84,14.61,7.35,8.1,2.09,0.99,0.95,0.56,1.05,0.24,0.2
1080,3181,38.99,17.5,7.57,14.68,6.2,8.58,1.96,0.94,1.03,0.61,1.08,0.3,0.28
1081,3183,30.8,18.02,6.26,7.33,4.38,6.69,8.94,0.64,1.03,0.53,14.78,0.18,0.2
1082,3187,37.26,16.17,7.49,10.95,6.78,7.12,4.67,0.9,1.01,0.61,6.3,0.27,0.22
1083,3187,41.35,19.22,7.99,12.77,6.21,5.61,2.22,1,1.17,0.76,0.82,0.27,0.25
1084,3190,41.85,18.94,8.59,9.96,4.96,8.73,2.59,0.99,0.98,0.66,0.97,0.25,0.27
1085,3192,41.89,20.79,8.45,7.98,5.44,7.03,3.11,1.08,0.99,0.67,1.81,0.29,0.19
